/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Epoch 00020 | Loss(train) 1.7950 | Acc(train) 0.3500 | Acc(val) 0.5588 |
Epoch 00021 | Loss(train) 1.8128 | Acc(train) 0.3713 | Acc(val) 0.5642 |
Epoch 00022 | Loss(train) 1.7281 | Acc(train) 0.3945 | Acc(val) 0.5775 |*
Epoch 00023 | Loss(train) 1.7227 | Acc(train) 0.3820 | Acc(val) 0.5829 |*
Epoch 00024 | Loss(train) 1.6694 | Acc(train) 0.3856 | Acc(val) 0.5829 |
Epoch 00025 | Loss(train) 1.6305 | Acc(train) 0.4167 | Acc(val) 0.5802 |
Epoch 00026 | Loss(train) 1.5968 | Acc(train) 0.4150 | Acc(val) 0.5802 |
Epoch 00027 | Loss(train) 1.5908 | Acc(train) 0.4212 | Acc(val) 0.5642 |
Epoch 00028 | Loss(train) 1.5575 | Acc(train) 0.4399 | Acc(val) 0.5615 |
Epoch 00029 | Loss(train) 1.5316 | Acc(train) 0.4515 | Acc(val) 0.5668 |
Epoch 00030 | Loss(train) 1.5065 | Acc(train) 0.4630 | Acc(val) 0.5963 |*
Epoch 00031 | Loss(train) 1.4560 | Acc(train) 0.4880 | Acc(val) 0.6043 |*
Epoch 00032 | Loss(train) 1.4528 | Acc(train) 0.4657 | Acc(val) 0.5989 |
Epoch 00033 | Loss(train) 1.3849 | Acc(train) 0.4978 | Acc(val) 0.5615 |
Epoch 00034 | Loss(train) 1.4012 | Acc(train) 0.4915 | Acc(val) 0.6123 |*
Epoch 00035 | Loss(train) 1.3591 | Acc(train) 0.4969 | Acc(val) 0.6551 |*
Epoch 00036 | Loss(train) 1.3555 | Acc(train) 0.5227 | Acc(val) 0.6390 |
Epoch 00037 | Loss(train) 1.3407 | Acc(train) 0.5138 | Acc(val) 0.6310 |
Epoch 00038 | Loss(train) 1.3423 | Acc(train) 0.4987 | Acc(val) 0.6310 |
Epoch 00039 | Loss(train) 1.2464 | Acc(train) 0.5316 | Acc(val) 0.6444 |
Epoch 00040 | Loss(train) 1.3091 | Acc(train) 0.5245 | Acc(val) 0.6364 |
Epoch 00041 | Loss(train) 1.2453 | Acc(train) 0.5459 | Acc(val) 0.6417 |
Epoch 00042 | Loss(train) 1.2277 | Acc(train) 0.5423 | Acc(val) 0.6471 |
Epoch 00043 | Loss(train) 1.3190 | Acc(train) 0.5681 | Acc(val) 0.6524 |
Epoch 00044 | Loss(train) 1.1683 | Acc(train) 0.5815 | Acc(val) 0.6684 |*
Epoch 00045 | Loss(train) 1.2257 | Acc(train) 0.5521 | Acc(val) 0.6658 |
Epoch 00046 | Loss(train) 1.1578 | Acc(train) 0.5744 | Acc(val) 0.6658 |
Epoch 00047 | Loss(train) 1.1624 | Acc(train) 0.5717 | Acc(val) 0.6845 |*
Epoch 00048 | Loss(train) 1.0921 | Acc(train) 0.5859 | Acc(val) 0.7005 |*
Epoch 00049 | Loss(train) 1.1625 | Acc(train) 0.5735 | Acc(val) 0.7487 |*
Epoch 00050 | Loss(train) 1.0957 | Acc(train) 0.6037 | Acc(val) 0.7781 |*
Epoch 00051 | Loss(train) 1.1232 | Acc(train) 0.5904 | Acc(val) 0.7968 |*
Epoch 00052 | Loss(train) 1.1053 | Acc(train) 0.6180 | Acc(val) 0.7941 |
Epoch 00053 | Loss(train) 1.0677 | Acc(train) 0.6224 | Acc(val) 0.7941 |
Epoch 00054 | Loss(train) 1.0901 | Acc(train) 0.5948 | Acc(val) 0.8021 |*
Epoch 00055 | Loss(train) 1.0701 | Acc(train) 0.6055 | Acc(val) 0.8128 |*
Epoch 00056 | Loss(train) 1.0645 | Acc(train) 0.6002 | Acc(val) 0.8048 |
Epoch 00057 | Loss(train) 1.0530 | Acc(train) 0.6109 | Acc(val) 0.8128 |
Epoch 00058 | Loss(train) 1.0227 | Acc(train) 0.6233 | Acc(val) 0.7941 |
Epoch 00059 | Loss(train) 1.0285 | Acc(train) 0.6242 | Acc(val) 0.8182 |*
Epoch 00060 | Loss(train) 0.9959 | Acc(train) 0.6358 | Acc(val) 0.8289 |*
Epoch 00061 | Loss(train) 0.9821 | Acc(train) 0.6411 | Acc(val) 0.8289 |
Epoch 00062 | Loss(train) 0.9981 | Acc(train) 0.6500 | Acc(val) 0.8342 |*
Epoch 00063 | Loss(train) 0.9893 | Acc(train) 0.6492 | Acc(val) 0.8209 |
Epoch 00064 | Loss(train) 0.9761 | Acc(train) 0.6500 | Acc(val) 0.8369 |*
Epoch 00065 | Loss(train) 0.9557 | Acc(train) 0.6492 | Acc(val) 0.8396 |*
Epoch 00066 | Loss(train) 0.9905 | Acc(train) 0.6492 | Acc(val) 0.8075 |
Epoch 00067 | Loss(train) 0.9308 | Acc(train) 0.6661 | Acc(val) 0.7995 |
Epoch 00068 | Loss(train) 0.9607 | Acc(train) 0.6705 | Acc(val) 0.8155 |
Epoch 00069 | Loss(train) 0.9714 | Acc(train) 0.6492 | Acc(val) 0.8449 |*
Epoch 00070 | Loss(train) 0.9851 | Acc(train) 0.6518 | Acc(val) 0.8476 |*
Epoch 00071 | Loss(train) 0.9106 | Acc(train) 0.6759 | Acc(val) 0.8289 |
Epoch 00072 | Loss(train) 0.9875 | Acc(train) 0.6518 | Acc(val) 0.8449 |
Epoch 00073 | Loss(train) 0.8840 | Acc(train) 0.6857 | Acc(val) 0.8476 |
Epoch 00074 | Loss(train) 0.8906 | Acc(train) 0.6955 | Acc(val) 0.8422 |
Epoch 00075 | Loss(train) 0.9187 | Acc(train) 0.6910 | Acc(val) 0.8449 |
Epoch 00076 | Loss(train) 0.8774 | Acc(train) 0.6946 | Acc(val) 0.8422 |
Epoch 00077 | Loss(train) 0.8857 | Acc(train) 0.6785 | Acc(val) 0.8422 |
Epoch 00078 | Loss(train) 0.9448 | Acc(train) 0.6759 | Acc(val) 0.8476 |
Epoch 00079 | Loss(train) 0.9298 | Acc(train) 0.6919 | Acc(val) 0.8449 |
Epoch 00080 | Loss(train) 0.8450 | Acc(train) 0.7150 | Acc(val) 0.8396 |
Epoch 00081 | Loss(train) 0.8295 | Acc(train) 0.6866 | Acc(val) 0.8476 |
Epoch 00082 | Loss(train) 0.8698 | Acc(train) 0.6946 | Acc(val) 0.8503 |*
Epoch 00083 | Loss(train) 0.8591 | Acc(train) 0.7106 | Acc(val) 0.8503 |
Epoch 00084 | Loss(train) 0.8581 | Acc(train) 0.7070 | Acc(val) 0.8316 |
Epoch 00085 | Loss(train) 0.8489 | Acc(train) 0.6946 | Acc(val) 0.8155 |
Epoch 00086 | Loss(train) 0.8754 | Acc(train) 0.6963 | Acc(val) 0.8610 |*
Epoch 00087 | Loss(train) 0.8330 | Acc(train) 0.6999 | Acc(val) 0.8583 |
Epoch 00088 | Loss(train) 0.8201 | Acc(train) 0.7124 | Acc(val) 0.8503 |
Epoch 00089 | Loss(train) 0.8723 | Acc(train) 0.7097 | Acc(val) 0.8289 |
Epoch 00090 | Loss(train) 0.8703 | Acc(train) 0.6946 | Acc(val) 0.8021 |
Epoch 00091 | Loss(train) 0.9240 | Acc(train) 0.6785 | Acc(val) 0.8770 |*
Epoch 00092 | Loss(train) 0.8425 | Acc(train) 0.7017 | Acc(val) 0.8636 |
Epoch 00093 | Loss(train) 0.8736 | Acc(train) 0.6732 | Acc(val) 0.8422 |
Epoch 00094 | Loss(train) 0.8355 | Acc(train) 0.7079 | Acc(val) 0.8209 |
Epoch 00095 | Loss(train) 0.8730 | Acc(train) 0.6963 | Acc(val) 0.8476 |
Epoch 00096 | Loss(train) 0.8329 | Acc(train) 0.6955 | Acc(val) 0.8529 |
Epoch 00097 | Loss(train) 0.8646 | Acc(train) 0.7311 | Acc(val) 0.8503 |
Epoch 00098 | Loss(train) 0.8236 | Acc(train) 0.7293 | Acc(val) 0.8449 |
Epoch 00099 | Loss(train) 0.8787 | Acc(train) 0.6821 | Acc(val) 0.8422 |
Epoch 00100 | Loss(train) 0.8154 | Acc(train) 0.7293 | Acc(val) 0.8396 |
Epoch 00101 | Loss(train) 0.7885 | Acc(train) 0.7355 | Acc(val) 0.8449 |
Epoch 00102 | Loss(train) 0.8009 | Acc(train) 0.7061 | Acc(val) 0.8476 |
Epoch 00103 | Loss(train) 0.8121 | Acc(train) 0.7293 | Acc(val) 0.8503 |
Epoch 00104 | Loss(train) 0.8022 | Acc(train) 0.7248 | Acc(val) 0.8503 |
Epoch 00105 | Loss(train) 0.8202 | Acc(train) 0.7302 | Acc(val) 0.8556 |
Epoch 00106 | Loss(train) 0.8320 | Acc(train) 0.7061 | Acc(val) 0.8529 |
Epoch 00107 | Loss(train) 0.8982 | Acc(train) 0.7204 | Acc(val) 0.8422 |
Epoch 00108 | Loss(train) 0.8120 | Acc(train) 0.7204 | Acc(val) 0.8529 |/root/WATS/model/calibrator.py:322: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),

Epoch 00109 | Loss(train) 0.7719 | Acc(train) 0.7355 | Acc(val) 0.8904 |*
Epoch 00110 | Loss(train) 0.8680 | Acc(train) 0.7142 | Acc(val) 0.8529 |
Epoch 00111 | Loss(train) 0.7788 | Acc(train) 0.7240 | Acc(val) 0.8529 |
Epoch 00112 | Loss(train) 0.7865 | Acc(train) 0.7418 | Acc(val) 0.8396 |
Epoch 00113 | Loss(train) 0.7996 | Acc(train) 0.7240 | Acc(val) 0.8663 |
Epoch 00114 | Loss(train) 0.7923 | Acc(train) 0.7079 | Acc(val) 0.8636 |
Epoch 00115 | Loss(train) 0.7839 | Acc(train) 0.7168 | Acc(val) 0.8663 |
Epoch 00116 | Loss(train) 0.7684 | Acc(train) 0.7311 | Acc(val) 0.8556 |
Epoch 00117 | Loss(train) 0.7677 | Acc(train) 0.7231 | Acc(val) 0.8503 |
Epoch 00118 | Loss(train) 0.7571 | Acc(train) 0.7364 | Acc(val) 0.8503 |
Epoch 00119 | Loss(train) 0.8042 | Acc(train) 0.7115 | Acc(val) 0.8743 |
Epoch 00120 | Loss(train) 0.7323 | Acc(train) 0.7427 | Acc(val) 0.8797 |
Epoch 00121 | Loss(train) 0.7888 | Acc(train) 0.7222 | Acc(val) 0.8529 |
Epoch 00122 | Loss(train) 0.7526 | Acc(train) 0.7427 | Acc(val) 0.8503 |
Epoch 00123 | Loss(train) 0.7859 | Acc(train) 0.7266 | Acc(val) 0.8503 |
Epoch 00124 | Loss(train) 0.7671 | Acc(train) 0.7337 | Acc(val) 0.8529 |
Epoch 00125 | Loss(train) 0.7509 | Acc(train) 0.7373 | Acc(val) 0.8690 |
Epoch 00126 | Loss(train) 0.7483 | Acc(train) 0.7400 | Acc(val) 0.8663 |
Epoch 00127 | Loss(train) 0.7879 | Acc(train) 0.7337 | Acc(val) 0.8503 |
Epoch 00128 | Loss(train) 0.7394 | Acc(train) 0.7382 | Acc(val) 0.8503 |
Epoch 00129 | Loss(train) 0.7632 | Acc(train) 0.7248 | Acc(val) 0.8529 |
Epoch 00130 | Loss(train) 0.7693 | Acc(train) 0.7195 | Acc(val) 0.8690 |
Epoch 00131 | Loss(train) 0.7354 | Acc(train) 0.7382 | Acc(val) 0.8824 |
Epoch 00132 | Loss(train) 0.7493 | Acc(train) 0.7364 | Acc(val) 0.8690 |
Epoch 00133 | Loss(train) 0.7811 | Acc(train) 0.7409 | Acc(val) 0.8556 |
Epoch 00134 | Loss(train) 0.7094 | Acc(train) 0.7542 | Acc(val) 0.8503 |
Epoch 00135 | Loss(train) 0.7125 | Acc(train) 0.7560 | Acc(val) 0.8583 |
Epoch 00136 | Loss(train) 0.7543 | Acc(train) 0.7480 | Acc(val) 0.8797 |
Epoch 00137 | Loss(train) 0.7518 | Acc(train) 0.7418 | Acc(val) 0.8770 |
Epoch 00138 | Loss(train) 0.7325 | Acc(train) 0.7418 | Acc(val) 0.8583 |
Epoch 00139 | Loss(train) 0.7366 | Acc(train) 0.7355 | Acc(val) 0.8396 |
Epoch 00140 | Loss(train) 0.7445 | Acc(train) 0.7418 | Acc(val) 0.8529 |
Epoch 00141 | Loss(train) 0.7411 | Acc(train) 0.7569 | Acc(val) 0.8770 |
Epoch 00142 | Loss(train) 0.7082 | Acc(train) 0.7453 | Acc(val) 0.8877 |
Epoch 00143 | Loss(train) 0.8028 | Acc(train) 0.7320 | Acc(val) 0.8770 |
Epoch 00144 | Loss(train) 0.7029 | Acc(train) 0.7569 | Acc(val) 0.8636 |
Epoch 00145 | Loss(train) 0.6999 | Acc(train) 0.7596 | Acc(val) 0.8743 |
Epoch 00146 | Loss(train) 0.7298 | Acc(train) 0.7364 | Acc(val) 0.8904 |
Epoch 00147 | Loss(train) 0.7108 | Acc(train) 0.7427 | Acc(val) 0.8850 |
Epoch 00148 | Loss(train) 0.6769 | Acc(train) 0.7703 | Acc(val) 0.8770 |
Epoch 00149 | Loss(train) 0.7207 | Acc(train) 0.7622 | Acc(val) 0.8797 |
Epoch 00150 | Loss(train) 0.7216 | Acc(train) 0.7480 | Acc(val) 0.8877 |
Epoch 00151 | Loss(train) 0.7337 | Acc(train) 0.7551 | Acc(val) 0.8850 |
Epoch 00152 | Loss(train) 0.6928 | Acc(train) 0.7578 | Acc(val) 0.8743 |
Epoch 00153 | Loss(train) 0.7152 | Acc(train) 0.7596 | Acc(val) 0.8850 |
Epoch 00154 | Loss(train) 0.6565 | Acc(train) 0.7783 | Acc(val) 0.8850 |
Epoch 00155 | Loss(train) 0.6924 | Acc(train) 0.7489 | Acc(val) 0.8770 |
Epoch 00156 | Loss(train) 0.7381 | Acc(train) 0.7248 | Acc(val) 0.8770 |
Epoch 00157 | Loss(train) 0.6956 | Acc(train) 0.7551 | Acc(val) 0.8797 |
Epoch 00158 | Loss(train) 0.6866 | Acc(train) 0.7507 | Acc(val) 0.8824 |
Early stopping at epoch 158
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 745, 'out_dim': 8}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 99.00 MB
GPU Memory Reserved: 220.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.0930 | Acc(train) 0.1451 | Acc(val) 0.2219 |*
Epoch 00002 | Loss(train) 2.7544 | Acc(train) 0.2208 | Acc(val) 0.2807 |*
Epoch 00003 | Loss(train) 2.0091 | Acc(train) 0.2235 | Acc(val) 0.1016 |
Epoch 00004 | Loss(train) 2.0263 | Acc(train) 0.2378 | Acc(val) 0.2807 |
Epoch 00005 | Loss(train) 2.0345 | Acc(train) 0.2369 | Acc(val) 0.3503 |*
Epoch 00006 | Loss(train) 2.0246 | Acc(train) 0.2369 | Acc(val) 0.5187 |*
Epoch 00007 | Loss(train) 1.9915 | Acc(train) 0.2440 | Acc(val) 0.5080 |
Epoch 00008 | Loss(train) 1.9548 | Acc(train) 0.2698 | Acc(val) 0.4652 |
Epoch 00009 | Loss(train) 1.9353 | Acc(train) 0.2689 | Acc(val) 0.3128 |
Epoch 00010 | Loss(train) 1.9692 | Acc(train) 0.2707 | Acc(val) 0.4064 |
Epoch 00011 | Loss(train) 1.9015 | Acc(train) 0.2921 | Acc(val) 0.4358 |
Epoch 00012 | Loss(train) 1.8673 | Acc(train) 0.2921 | Acc(val) 0.4519 |
Epoch 00013 | Loss(train) 1.8878 | Acc(train) 0.2805 | Acc(val) 0.5294 |*
Epoch 00014 | Loss(train) 1.8637 | Acc(train) 0.2947 | Acc(val) 0.5642 |*
Epoch 00015 | Loss(train) 1.8038 | Acc(train) 0.3143 | Acc(val) 0.5588 |
Epoch 00016 | Loss(train) 1.7766 | Acc(train) 0.3250 | Acc(val) 0.5615 |
Epoch 00017 | Loss(train) 1.7886 | Acc(train) 0.3232 | Acc(val) 0.5668 |*
Epoch 00018 | Loss(train) 1.7723 | Acc(train) 0.3375 | Acc(val) 0.5695 |*
Epoch 00019 | Loss(train) 1.7739 | Acc(train) 0.3134 | Acc(val) 0.5802 |*
Epoch 00020 | Loss(train) 1.7254 | Acc(train) 0.3508 | Acc(val) 0.5802 |
Epoch 00021 | Loss(train) 1.7051 | Acc(train) 0.3508 | Acc(val) 0.5695 |
Epoch 00022 | Loss(train) 1.7047 | Acc(train) 0.3758 | Acc(val) 0.5561 |
Epoch 00023 | Loss(train) 1.6723 | Acc(train) 0.3669 | Acc(val) 0.5615 |
Epoch 00024 | Loss(train) 1.6421 | Acc(train) 0.3972 | Acc(val) 0.5668 |
Epoch 00025 | Loss(train) 1.6296 | Acc(train) 0.3900 | Acc(val) 0.5856 |*
Epoch 00026 | Loss(train) 1.6060 | Acc(train) 0.4078 | Acc(val) 0.5802 |
Epoch 00027 | Loss(train) 1.5479 | Acc(train) 0.4470 | Acc(val) 0.5856 |
Epoch 00028 | Loss(train) 1.5433 | Acc(train) 0.4212 | Acc(val) 0.5909 |*
Epoch 00029 | Loss(train) 1.5505 | Acc(train) 0.4248 | Acc(val) 0.5829 |
Epoch 00030 | Loss(train) 1.5114 | Acc(train) 0.4657 | Acc(val) 0.5642 |
Epoch 00031 | Loss(train) 1.5068 | Acc(train) 0.4639 | Acc(val) 0.5642 |
Epoch 00032 | Loss(train) 1.4778 | Acc(train) 0.4817 | Acc(val) 0.5802 |
Epoch 00033 | Loss(train) 1.4426 | Acc(train) 0.4915 | Acc(val) 0.5963 |*
Epoch 00034 | Loss(train) 1.3750 | Acc(train) 0.5200 | Acc(val) 0.5989 |*
Epoch 00035 | Loss(train) 1.3836 | Acc(train) 0.5147 | Acc(val) 0.6043 |*
Epoch 00036 | Loss(train) 1.4105 | Acc(train) 0.5031 | Acc(val) 0.6123 |*
Epoch 00037 | Loss(train) 1.3718 | Acc(train) 0.5067 | Acc(val) 0.6310 |*
Epoch 00038 | Loss(train) 1.3338 | Acc(train) 0.5191 | Acc(val) 0.6444 |*
Epoch 00039 | Loss(train) 3.9014 | Acc(train) 0.5165 | Acc(val) 0.6765 |*
Epoch 00040 | Loss(train) 1.2637 | Acc(train) 0.5450 | Acc(val) 0.6898 |*
Epoch 00041 | Loss(train) 1.2568 | Acc(train) 0.5548 | Acc(val) 0.6952 |*
Epoch 00042 | Loss(train) 1.2538 | Acc(train) 0.5610 | Acc(val) 0.7139 |*
Epoch 00043 | Loss(train) 1.2374 | Acc(train) 0.5672 | Acc(val) 0.7139 |
Epoch 00044 | Loss(train) 1.1916 | Acc(train) 0.5681 | Acc(val) 0.7166 |*
Epoch 00045 | Loss(train) 1.1845 | Acc(train) 0.5735 | Acc(val) 0.7299 |*
Epoch 00046 | Loss(train) 1.1917 | Acc(train) 0.5699 | Acc(val) 0.7433 |*
Epoch 00047 | Loss(train) 1.1751 | Acc(train) 0.5859 | Acc(val) 0.7754 |*
Epoch 00048 | Loss(train) 1.1218 | Acc(train) 0.5913 | Acc(val) 0.7888 |*
Epoch 00049 | Loss(train) 1.1251 | Acc(train) 0.5913 | Acc(val) 0.7995 |*
Epoch 00050 | Loss(train) 1.1264 | Acc(train) 0.5913 | Acc(val) 0.7995 |
Epoch 00051 | Loss(train) 1.0534 | Acc(train) 0.6233 | Acc(val) 0.8048 |*
Epoch 00052 | Loss(train) 1.1054 | Acc(train) 0.6020 | Acc(val) 0.8182 |*
Epoch 00053 | Loss(train) 1.0512 | Acc(train) 0.6251 | Acc(val) 0.8289 |*
Epoch 00054 | Loss(train) 1.0145 | Acc(train) 0.6492 | Acc(val) 0.8396 |*
Epoch 00055 | Loss(train) 1.0411 | Acc(train) 0.6269 | Acc(val) 0.8396 |
Epoch 00056 | Loss(train) 1.0008 | Acc(train) 0.6402 | Acc(val) 0.8289 |
Epoch 00057 | Loss(train) 1.0391 | Acc(train) 0.6305 | Acc(val) 0.8316 |
Epoch 00058 | Loss(train) 0.9888 | Acc(train) 0.6509 | Acc(val) 0.8102 |
Epoch 00059 | Loss(train) 1.0136 | Acc(train) 0.6483 | Acc(val) 0.8316 |
Epoch 00060 | Loss(train) 0.9694 | Acc(train) 0.6518 | Acc(val) 0.8235 |
Epoch 00061 | Loss(train) 1.0287 | Acc(train) 0.6367 | Acc(val) 0.8021 |
Epoch 00062 | Loss(train) 1.0137 | Acc(train) 0.6331 | Acc(val) 0.8048 |
Epoch 00063 | Loss(train) 0.9825 | Acc(train) 0.6581 | Acc(val) 0.8342 |
Epoch 00064 | Loss(train) 1.0002 | Acc(train) 0.6394 | Acc(val) 0.8235 |
Epoch 00065 | Loss(train) 1.0163 | Acc(train) 0.6305 | Acc(val) 0.8289 |
Epoch 00066 | Loss(train) 0.9298 | Acc(train) 0.6794 | Acc(val) 0.8075 |
Epoch 00067 | Loss(train) 1.0574 | Acc(train) 0.6305 | Acc(val) 0.8342 |
Epoch 00068 | Loss(train) 0.9518 | Acc(train) 0.6563 | Acc(val) 0.8155 |
Epoch 00069 | Loss(train) 0.9928 | Acc(train) 0.6572 | Acc(val) 0.8369 |
Epoch 00070 | Loss(train) 0.9222 | Acc(train) 0.6803 | Acc(val) 0.8422 |*
Epoch 00071 | Loss(train) 0.9629 | Acc(train) 0.6643 | Acc(val) 0.8422 |
Epoch 00072 | Loss(train) 0.8978 | Acc(train) 0.6732 | Acc(val) 0.8369 |
Epoch 00073 | Loss(train) 0.9263 | Acc(train) 0.6679 | Acc(val) 0.8342 |
Epoch 00074 | Loss(train) 0.9778 | Acc(train) 0.6456 | Acc(val) 0.8369 |
Epoch 00075 | Loss(train) 0.8574 | Acc(train) 0.6955 | Acc(val) 0.8262 |
Epoch 00076 | Loss(train) 0.8777 | Acc(train) 0.6848 | Acc(val) 0.8182 |
Epoch 00077 | Loss(train) 0.9305 | Acc(train) 0.6776 | Acc(val) 0.7968 |
Epoch 00078 | Loss(train) 0.9622 | Acc(train) 0.6589 | Acc(val) 0.8316 |
Epoch 00079 | Loss(train) 0.8982 | Acc(train) 0.6634 | Acc(val) 0.8369 |
Epoch 00080 | Loss(train) 0.8778 | Acc(train) 0.6705 | Acc(val) 0.8209 |
Epoch 00081 | Loss(train) 0.8852 | Acc(train) 0.6857 | Acc(val) 0.8396 |
Epoch 00082 | Loss(train) 0.8832 | Acc(train) 0.6794 | Acc(val) 0.8316 |
Epoch 00083 | Loss(train) 0.9164 | Acc(train) 0.6643 | Acc(val) 0.8235 |
Epoch 00084 | Loss(train) 0.8628 | Acc(train) 0.6955 | Acc(val) 0.8422 |
Epoch 00085 | Loss(train) 0.8316 | Acc(train) 0.7079 | Acc(val) 0.8396 |
Epoch 00086 | Loss(train) 0.8755 | Acc(train) 0.7017 | Acc(val) 0.8476 |*
Epoch 00087 | Loss(train) 0.8679 | Acc(train) 0.6892 | Acc(val) 0.8476 |
Epoch 00088 | Loss(train) 0.8699 | Acc(train) 0.6937 | Acc(val) 0.8476 |
Epoch 00089 | Loss(train) 0.8588 | Acc(train) 0.6768 | Acc(val) 0.8422 |
Epoch 00090 | Loss(train) 0.8732 | Acc(train) 0.6768 | Acc(val) 0.8449 |
Epoch 00091 | Loss(train) 0.8132 | Acc(train) 0.7186 | Acc(val) 0.8449 |
Epoch 00092 | Loss(train) 0.8717 | Acc(train) 0.6963 | Acc(val) 0.8449 |
Epoch 00093 | Loss(train) 0.8285 | Acc(train) 0.7124 | Acc(val) 0.8476 |
Epoch 00094 | Loss(train) 0.7842 | Acc(train) 0.7275 | Acc(val) 0.8476 |
Epoch 00095 | Loss(train) 0.7895 | Acc(train) 0.7177 | Acc(val) 0.8422 |
Epoch 00096 | Loss(train) 0.8185 | Acc(train) 0.7177 | Acc(val) 0.8449 |
Epoch 00097 | Loss(train) 0.8226 | Acc(train) 0.7035 | Acc(val) 0.8503 |*
Epoch 00098 | Loss(train) 0.8067 | Acc(train) 0.7168 | Acc(val) 0.8396 |
Epoch 00099 | Loss(train) 0.7907 | Acc(train) 0.7177 | Acc(val) 0.8503 |
Epoch 00100 | Loss(train) 0.7856 | Acc(train) 0.7302 | Acc(val) 0.8476 |
Epoch 00101 | Loss(train) 0.8294 | Acc(train) 0.7026 | Acc(val) 0.8476 |
Epoch 00102 | Loss(train) 0.8353 | Acc(train) 0.7097 | Acc(val) 0.8503 |
Epoch 00103 | Loss(train) 0.7975 | Acc(train) 0.7364 | Acc(val) 0.8449 |
Epoch 00104 | Loss(train) 0.8386 | Acc(train) 0.7070 | Acc(val) 0.8663 |*
Epoch 00105 | Loss(train) 0.8227 | Acc(train) 0.7079 | Acc(val) 0.8369 |
Epoch 00106 | Loss(train) 0.7925 | Acc(train) 0.7195 | Acc(val) 0.8503 |
