/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Dataset: cora-full | #Nodes: 18800 | #Edges: 144170 | #Classes: 70 |#Features: 8710
Epoch 00021 | Loss(train) 3.0942 | Acc(train) 0.3048 | Acc(val) 0.4223 |
Epoch 00022 | Loss(train) 3.0266 | Acc(train) 0.3098 | Acc(val) 0.4250 |*
Epoch 00023 | Loss(train) 3.0136 | Acc(train) 0.3149 | Acc(val) 0.4245 |
Epoch 00024 | Loss(train) 2.9573 | Acc(train) 0.3181 | Acc(val) 0.4303 |*
Epoch 00025 | Loss(train) 2.9315 | Acc(train) 0.3269 | Acc(val) 0.4388 |*
Epoch 00026 | Loss(train) 2.8956 | Acc(train) 0.3322 | Acc(val) 0.4537 |*
Epoch 00027 | Loss(train) 2.8673 | Acc(train) 0.3391 | Acc(val) 0.4691 |*
Epoch 00028 | Loss(train) 2.8555 | Acc(train) 0.3471 | Acc(val) 0.4819 |*
Epoch 00029 | Loss(train) 2.8266 | Acc(train) 0.3484 | Acc(val) 0.4915 |*
Epoch 00030 | Loss(train) 2.7952 | Acc(train) 0.3561 | Acc(val) 0.4984 |*
Epoch 00031 | Loss(train) 2.8051 | Acc(train) 0.3561 | Acc(val) 0.5005 |*
Epoch 00032 | Loss(train) 2.7919 | Acc(train) 0.3644 | Acc(val) 0.5090 |*
Epoch 00033 | Loss(train) 2.7233 | Acc(train) 0.3721 | Acc(val) 0.5064 |
Epoch 00034 | Loss(train) 2.7351 | Acc(train) 0.3713 | Acc(val) 0.5096 |*
Epoch 00035 | Loss(train) 2.7476 | Acc(train) 0.3630 | Acc(val) 0.5043 |
Epoch 00036 | Loss(train) 2.7206 | Acc(train) 0.3809 | Acc(val) 0.5032 |
Epoch 00037 | Loss(train) 2.6946 | Acc(train) 0.3801 | Acc(val) 0.4989 |
Epoch 00038 | Loss(train) 2.6814 | Acc(train) 0.3848 | Acc(val) 0.4995 |
Epoch 00039 | Loss(train) 2.7035 | Acc(train) 0.3793 | Acc(val) 0.5032 |
Epoch 00040 | Loss(train) 2.6561 | Acc(train) 0.3883 | Acc(val) 0.5069 |
Epoch 00041 | Loss(train) 2.6783 | Acc(train) 0.3827 | Acc(val) 0.5112 |*
Epoch 00042 | Loss(train) 2.6451 | Acc(train) 0.3896 | Acc(val) 0.5191 |*
Epoch 00043 | Loss(train) 2.6533 | Acc(train) 0.3819 | Acc(val) 0.5298 |*
Epoch 00044 | Loss(train) 2.6572 | Acc(train) 0.3931 | Acc(val) 0.5367 |*
Epoch 00045 | Loss(train) 2.6399 | Acc(train) 0.3923 | Acc(val) 0.5399 |*
Epoch 00046 | Loss(train) 2.6243 | Acc(train) 0.3846 | Acc(val) 0.5410 |*
Epoch 00047 | Loss(train) 2.6333 | Acc(train) 0.3984 | Acc(val) 0.5420 |*
Epoch 00048 | Loss(train) 2.5903 | Acc(train) 0.3979 | Acc(val) 0.5420 |
Epoch 00049 | Loss(train) 2.6267 | Acc(train) 0.4051 | Acc(val) 0.5426 |*
Epoch 00050 | Loss(train) 2.6046 | Acc(train) 0.4106 | Acc(val) 0.5489 |*
Epoch 00051 | Loss(train) 2.6229 | Acc(train) 0.3926 | Acc(val) 0.5473 |
Epoch 00052 | Loss(train) 2.5720 | Acc(train) 0.4082 | Acc(val) 0.5447 |
Epoch 00053 | Loss(train) 2.6056 | Acc(train) 0.3963 | Acc(val) 0.5431 |
Epoch 00054 | Loss(train) 2.5552 | Acc(train) 0.4106 | Acc(val) 0.5420 |
Epoch 00055 | Loss(train) 2.5768 | Acc(train) 0.4138 | Acc(val) 0.5426 |
Epoch 00056 | Loss(train) 2.5895 | Acc(train) 0.3936 | Acc(val) 0.5436 |
Epoch 00057 | Loss(train) 2.5501 | Acc(train) 0.4085 | Acc(val) 0.5447 |
Epoch 00058 | Loss(train) 2.5564 | Acc(train) 0.4170 | Acc(val) 0.5457 |
Epoch 00059 | Loss(train) 2.5459 | Acc(train) 0.4037 | Acc(val) 0.5489 |
Epoch 00060 | Loss(train) 2.5413 | Acc(train) 0.4136 | Acc(val) 0.5479 |
Epoch 00061 | Loss(train) 2.5660 | Acc(train) 0.4104 | Acc(val) 0.5505 |*
Epoch 00062 | Loss(train) 2.5690 | Acc(train) 0.4120 | Acc(val) 0.5532 |*
Epoch 00063 | Loss(train) 2.5566 | Acc(train) 0.4186 | Acc(val) 0.5585 |*
Epoch 00064 | Loss(train) 2.5530 | Acc(train) 0.4136 | Acc(val) 0.5622 |*
Epoch 00065 | Loss(train) 2.5235 | Acc(train) 0.4263 | Acc(val) 0.5612 |
Epoch 00066 | Loss(train) 2.5405 | Acc(train) 0.4152 | Acc(val) 0.5633 |*
Epoch 00067 | Loss(train) 2.5129 | Acc(train) 0.4266 | Acc(val) 0.5638 |*
Epoch 00068 | Loss(train) 2.5236 | Acc(train) 0.4176 | Acc(val) 0.5617 |
Epoch 00069 | Loss(train) 2.5157 | Acc(train) 0.4122 | Acc(val) 0.5606 |
Epoch 00070 | Loss(train) 2.5401 | Acc(train) 0.4237 | Acc(val) 0.5564 |
Epoch 00071 | Loss(train) 2.5516 | Acc(train) 0.4197 | Acc(val) 0.5527 |
Epoch 00072 | Loss(train) 2.4962 | Acc(train) 0.4162 | Acc(val) 0.5537 |
Epoch 00073 | Loss(train) 2.5241 | Acc(train) 0.4226 | Acc(val) 0.5559 |
Epoch 00074 | Loss(train) 2.5428 | Acc(train) 0.4168 | Acc(val) 0.5580 |
Epoch 00075 | Loss(train) 2.5096 | Acc(train) 0.4295 | Acc(val) 0.5596 |
Epoch 00076 | Loss(train) 2.5595 | Acc(train) 0.4048 | Acc(val) 0.5596 |
Epoch 00077 | Loss(train) 2.5201 | Acc(train) 0.4176 | Acc(val) 0.5612 |
Epoch 00078 | Loss(train) 2.5238 | Acc(train) 0.4205 | Acc(val) 0.5596 |
Epoch 00079 | Loss(train) 2.5069 | Acc(train) 0.4229 | Acc(val) 0.5596 |
Epoch 00080 | Loss(train) 2.5240 | Acc(train) 0.4141 | Acc(val) 0.5606 |
Epoch 00081 | Loss(train) 2.5381 | Acc(train) 0.4152 | Acc(val) 0.5585 |
Epoch 00082 | Loss(train) 2.4934 | Acc(train) 0.4266 | Acc(val) 0.5628 |
Epoch 00083 | Loss(train) 2.5429 | Acc(train) 0.4128 | Acc(val) 0.5676 |*
Epoch 00084 | Loss(train) 2.5694 | Acc(train) 0.4130 | Acc(val) 0.5707 |*
Epoch 00085 | Loss(train) 2.5087 | Acc(train) 0.4194 | Acc(val) 0.5723 |*
Epoch 00086 | Loss(train) 2.5321 | Acc(train) 0.4160 | Acc(val) 0.5702 |
Epoch 00087 | Loss(train) 2.4645 | Acc(train) 0.4295 | Acc(val) 0.5702 |
Epoch 00088 | Loss(train) 2.5485 | Acc(train) 0.4011 | Acc(val) 0.5686 |
Epoch 00089 | Loss(train) 2.5272 | Acc(train) 0.4181 | Acc(val) 0.5681 |
Epoch 00090 | Loss(train) 2.5020 | Acc(train) 0.4255 | Acc(val) 0.5676 |
Epoch 00091 | Loss(train) 2.5318 | Acc(train) 0.4120 | Acc(val) 0.5665 |
Epoch 00092 | Loss(train) 2.5217 | Acc(train) 0.4098 | Acc(val) 0.5665 |
Epoch 00093 | Loss(train) 2.5195 | Acc(train) 0.4173 | Acc(val) 0.5649 |
Epoch 00094 | Loss(train) 2.5192 | Acc(train) 0.4245 | Acc(val) 0.5633 |
Epoch 00095 | Loss(train) 2.4978 | Acc(train) 0.4274 | Acc(val) 0.5644 |
Epoch 00096 | Loss(train) 2.5141 | Acc(train) 0.4229 | Acc(val) 0.5606 |
Epoch 00097 | Loss(train) 2.5020 | Acc(train) 0.4199 | Acc(val) 0.5617 |
Epoch 00098 | Loss(train) 2.5129 | Acc(train) 0.4199 | Acc(val) 0.5670 |
Epoch 00099 | Loss(train) 2.5327 | Acc(train) 0.4098 | Acc(val) 0.5702 |
Epoch 00100 | Loss(train) 2.5016 | Acc(train) 0.4303 | Acc(val) 0.5691 |
Epoch 00101 | Loss(train) 2.5120 | Acc(train) 0.4231 | Acc(val) 0.5665 |
Epoch 00102 | Loss(train) 2.5079 | Acc(train) 0.4136 | Acc(val) 0.5670 |
Epoch 00103 | Loss(train) 2.5277 | Acc(train) 0.4160 | Acc(val) 0.5601 |
Epoch 00104 | Loss(train) 2.5364 | Acc(train) 0.4138 | Acc(val) 0.5585 |
Epoch 00105 | Loss(train) 2.4959 | Acc(train) 0.4226 | Acc(val) 0.5585 |
Epoch 00106 | Loss(train) 2.5161 | Acc(train) 0.4157 | Acc(val) 0.5580 |
Epoch 00107 | Loss(train) 2.4981 | Acc(train) 0.4170 | Acc(val) 0.5574 |
Epoch 00108 | Loss(train) 2.5013 | Acc(train) 0.4178 | Acc(val) 0.5612 |
Epoch 00109 | Loss(train) 2.5106 | Acc(train) 0.4237 | Acc(val) 0.5633 |
Epoch 00110 | Loss(train) 2.5130 | Acc(train) 0.4181 | Acc(val) 0.5649 |
Epoch 00111 | Loss(train) 2.5232 | Acc(train) 0.4237 | Acc(val) 0.5633 |
Epoch 00112 | Loss(train) 2.5116 | Acc(train) 0.4165 | Acc(val) 0.5644 |
Epoch 00113 | Loss(train) 2.5246 | Acc(train) 0.4186 | Acc(val) 0.5633 |
Epoch 00114 | Loss(train) 2.5133 | Acc(train) 0.4245 | Acc(val) 0.5660 |
Epoch 00115 | Loss(train) 2.5312 | Acc(train) 0.4157 | Acc(val) 0.5702 |
Epoch 00116 | Loss(train) 2.5034 | Acc(train) 0.4205 | Acc(val) 0.5697 |
Epoch 00117 | Loss(train) 2.5008 | Acc(train) 0.4247 | Acc(val) 0.5713 |
Epoch 00118 | Loss(train) 2.4831 | Acc(train) 0.4372 | Acc(val) 0.5681 |
Epoch 00119 | Loss(train) 2.5180 | Acc(train) 0.4221 | Acc(val) 0.5665 |
Epoch 00120 | Loss(train) 2.5014 | Acc(train) 0.4231 | Acc(val) 0.5633 |
Epoch 00121 | Loss(train) 2.5067 | Acc(train) 0.4250 | Acc(val) 0.5660 |
Epoch 00122 | Loss(train) 2.4919 | Acc(train) 0.4274 | Acc(val) 0.5665 |
Epoch 00123 | Loss(train) 2.5232 | Acc(train) 0.4205 | Acc(val) 0.5612 |
Epoch 00124 | Loss(train) 2.5801 | Acc(train) 0.4072 | Acc(val) 0.5569 |
Epoch 00125 | Loss(train) 2.4986 | Acc(train) 0.4229 | Acc(val) 0.5564 |
Epoch 00126 | Loss(train) 2.5277 | Acc(train) 0.4133 | Acc(val) 0.5574 |
Epoch 00127 | Loss(train) 2.4836 | Acc(train) 0.4285 | Acc(val) 0.5574 |
Epoch 00128 | Loss(train) 2.5175 | Acc(train) 0.4207 | Acc(val) 0.5601 |
Epoch 00129 | Loss(train) 2.5069 | Acc(train) 0.4269 | Acc(val) 0.5686 |
Epoch 00130 | Loss(train) 2.4985 | Acc(train) 0.4266 | Acc(val) 0.5723 |
Epoch 00131 | Loss(train) 2.5189 | Acc(train) 0.4210 | Acc(val) 0.5793 |*
Epoch 00132 | Loss(train) 2.4957 | Acc(train) 0.4370 | Acc(val) 0.5793 |
Epoch 00133 | Loss(train) 2.5341 | Acc(train) 0.4191 | Acc(val) 0.5750 |
Epoch 00134 | Loss(train) 2.5025 | Acc(train) 0.4335 | Acc(val) 0.5707 |
Epoch 00135 | Loss(train) 2.5222 | Acc(train) 0.4255 | Acc(val) 0.5681 |
Epoch 00136 | Loss(train) 2.4880 | Acc(train) 0.4386 | Acc(val) 0.5660 |
Epoch 00137 | Loss(train) 2.5273 | Acc(train) 0.4178 | Acc(val) 0.5670 |
Epoch 00138 | Loss(train) 2.4742 | Acc(train) 0.4309 | Acc(val) 0.5665 |
Epoch 00139 | Loss(train) 2.5208 | Acc(train) 0.4255 | Acc(val) 0.5660 |
Epoch 00140 | Loss(train) 2.5105 | Acc(train) 0.4189 | Acc(val) 0.5697 |
Epoch 00141 | Loss(train) 2.4731 | Acc(train) 0.4327 | Acc(val) 0.5697 |
Epoch 00142 | Loss(train) 2.5265 | Acc(train) 0.4311 | Acc(val) 0.5729 |
Epoch 00143 | Loss(train) 2.5225 | Acc(train) 0.4242 | Acc(val) 0.5697 |
Epoch 00144 | Loss(train) 2.5020 | Acc(train) 0.4277 | Acc(val) 0.5718 |
Epoch 00145 | Loss(train) 2.4903 | Acc(train) 0.4293 | Acc(val) 0.5723 |
Epoch 00146 | Loss(train) 2.4911 | Acc(train) 0.4340 | Acc(val) 0.5761 |
Epoch 00147 | Loss(train) 2.5052 | Acc(train) 0.4229 | Acc(val) 0.5729 |
Epoch 00148 | Loss(train) 2.4934 | Acc(train) 0.4247 | Acc(val) 0.5707 |
Epoch 00149 | Loss(train) 2.5314 | Acc(train) 0.4117 | Acc(val) 0.5713 |
Epoch 00150 | Loss(train) 2.5144 | Acc(train) 0.4162 | Acc(val) 0.5745 |
Epoch 00151 | Loss(train) 2.5017 | Acc(train) 0.4253 | Acc(val) 0.5777 |
Epoch 00152 | Loss(train) 2.4992 | Acc(train) 0.4266 | Acc(val) 0.5809 |*
Epoch 00153 | Loss(train) 2.5046 | Acc(train) 0.4293 | Acc(val) 0.5803 |
Epoch 00154 | Loss(train) 2.5009 | Acc(train) 0.4261 | Acc(val) 0.5761 |
Epoch 00155 | Loss(train) 2.5053 | Acc(train) 0.4231 | Acc(val) 0.5707 |
Epoch 00156 | Loss(train) 2.4796 | Acc(train) 0.4213 | Acc(val) 0.5702 |
Epoch 00157 | Loss(train) 2.4575 | Acc(train) 0.4332 | Acc(val) 0.5697 |
Epoch 00158 | Loss(train) 2.5369 | Acc(train) 0.4104 | Acc(val) 0.5654 |
Epoch 00159 | Loss(train) 2.4720 | Acc(train) 0.4309 | Acc(val) 0.5670 |
Epoch 00160 | Loss(train) 2.4961 | Acc(train) 0.4218 | Acc(val) 0.5750 |
Epoch 00161 | Loss(train) 2.5088 | Acc(train) 0.4250 | Acc(val) 0.5798 |
Epoch 00162 | Loss(train) 2.4826 | Acc(train) 0.4404 | Acc(val) 0.5840 |*
Epoch 00163 | Loss(train) 2.5053 | Acc(train) 0.4253 | Acc(val) 0.5872 |*
Epoch 00164 | Loss(train) 2.5087 | Acc(train) 0.4316 | Acc(val) 0.5846 |
Epoch 00165 | Loss(train) 2.4875 | Acc(train) 0.4301 | Acc(val) 0.5798 |
Epoch 00166 | Loss(train) 2.4771 | Acc(train) 0.4359 | Acc(val) 0.5734 |
Epoch 00167 | Loss(train) 2.4919 | Acc(train) 0.4309 | Acc(val) 0.5702 |
Epoch 00168 | Loss(train) 2.5105 | Acc(train) 0.4253 | Acc(val) 0.5697 |
Epoch 00169 | Loss(train) 2.4709 | Acc(train) 0.4346 | Acc(val) 0.5686 |
Epoch 00170 | Loss(train) 2.5044 | Acc(train) 0.4247 | Acc(val) 0.5697 |
Epoch 00171 | Loss(train) 2.5260 | Acc(train) 0.4130 | Acc(val) 0.5670 |
Epoch 00172 | Loss(train) 2.4691 | Acc(train) 0.4263 | Acc(val) 0.5734 |
Epoch 00173 | Loss(train) 2.5042 | Acc(train) 0.4269 | Acc(val) 0.5745 |
Epoch 00174 | Loss(train) 2.4979 | Acc(train) 0.4293 | Acc(val) 0.5729 |
Epoch 00175 | Loss(train) 2.4472 | Acc(train) 0.4436 | Acc(val) 0.5750 |
Epoch 00176 | Loss(train) 2.4772 | Acc(train) 0.4290 | Acc(val) 0.5777 |
Epoch 00177 | Loss(train) 2.4847 | Acc(train) 0.4293 | Acc(val) 0.5824 |
Epoch 00178 | Loss(train) 2.4831 | Acc(train) 0.4367 | Acc(val) 0.5803 |
Epoch 00179 | Loss(train) 2.4965 | Acc(train) 0.4274 | Acc(val) 0.5745 |
Epoch 00180 | Loss(train) 2.5058 | Acc(train) 0.4293 | Acc(val) 0.5707 |
Epoch 00181 | Loss(train) 2.5272 | Acc(train) 0.4152 | Acc(val) 0.5681 |
Epoch 00182 | Loss(train) 2.5057 | Acc(train) 0.4197 | Acc(val) 0.5660 |
Epoch 00183 | Loss(train) 2.5063 | Acc(train) 0.4199 | Acc(val) 0.5612 |
Epoch 00184 | Loss(train) 2.5067 | Acc(train) 0.4239 | Acc(val) 0.5649 |
Epoch 00185 | Loss(train) 2.4989 | Acc(train) 0.4229 | Acc(val) 0.5707 |
Epoch 00186 | Loss(train) 2.5061 | Acc(train) 0.4191 | Acc(val) 0.5707 |
Epoch 00187 | Loss(train) 2.5164 | Acc(train) 0.4221 | Acc(val) 0.5707 |
Epoch 00188 | Loss(train) 2.5019 | Acc(train) 0.4229 | Acc(val) 0.5644 |
Epoch 00189 | Loss(train) 2.4781 | Acc(train) 0.4205 | Acc(val) 0.5654 |
Epoch 00190 | Loss(train) 2.5110 | Acc(train) 0.4269 | Acc(val) 0.5649 |
Epoch 00191 | Loss(train) 2.4960 | Acc(train) 0.4197 | Acc(val) 0.5654 |
Epoch 00192 | Loss(train) 2.5094 | Acc(train) 0.4186 | Acc(val) 0.5628 |
Epoch 00193 | Loss(train) 2.4944 | Acc(train) 0.4258 | Acc(val) 0.5633 |
Epoch 00194 | Loss(train) 2.4508 | Acc(train) 0.4449 | Acc(val) 0.5665 |
Epoch 00195 | Loss(train) 2.4949 | Acc(train) 0.4202 | Acc(val) 0.5702 |
Epoch 00196 | Loss(train) 2.5079 | Acc(train) 0.4218 | Acc(val) 0.5734 |
Epoch 00197 | Loss(train) 2.4839 | Acc(train) 0.4335 | Acc(val) 0.5739 |
Epoch 00198 | Loss(train) 2.4916 | Acc(train) 0.4258 | Acc(val) 0.5686 |
Epoch 00199 | Loss(train) 2.4771 | Acc(train) 0.4346 | Acc(val) 0.5660 |
Epoch 00200 | Loss(train) 2.4940 | Acc(train) 0.4176 | Acc(val) 0.5638 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'CaGCN', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.5}, gnn={'type': 'gat', 'num_layer': 2, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 8710, 'out_dim': 70}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 713.53 MB
GPU Memory Reserved: 2060.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 4.2510 | Acc(train) 0.0133 | Acc(val) 0.0989 |*
Epoch 00002 | Loss(train) 4.2087 | Acc(train) 0.0952 | Acc(val) 0.1676 |*
Epoch 00003 | Loss(train) 4.1553 | Acc(train) 0.1620 | Acc(val) 0.1941 |*
Epoch 00004 | Loss(train) 4.0845 | Acc(train) 0.1665 | Acc(val) 0.1819 |
Epoch 00005 | Loss(train) 4.0020 | Acc(train) 0.1654 | Acc(val) 0.1606 |
Epoch 00006 | Loss(train) 3.9153 | Acc(train) 0.1572 | Acc(val) 0.1521 |
Epoch 00007 | Loss(train) 3.8656 | Acc(train) 0.1436 | Acc(val) 0.1410 |
Epoch 00008 | Loss(train) 3.7960 | Acc(train) 0.1457 | Acc(val) 0.1463 |
Epoch 00009 | Loss(train) 3.7368 | Acc(train) 0.1492 | Acc(val) 0.1569 |
Epoch 00010 | Loss(train) 3.6919 | Acc(train) 0.1489 | Acc(val) 0.1830 |
Epoch 00011 | Loss(train) 3.6247 | Acc(train) 0.1758 | Acc(val) 0.2197 |*
Epoch 00012 | Loss(train) 3.5527 | Acc(train) 0.2016 | Acc(val) 0.2660 |*
Epoch 00013 | Loss(train) 3.4794 | Acc(train) 0.2380 | Acc(val) 0.3181 |*
Epoch 00014 | Loss(train) 3.4144 | Acc(train) 0.2614 | Acc(val) 0.3596 |*
Epoch 00015 | Loss(train) 3.3776 | Acc(train) 0.2707 | Acc(val) 0.3941 |*
Epoch 00016 | Loss(train) 3.3287 | Acc(train) 0.2944 | Acc(val) 0.4213 |*
Epoch 00017 | Loss(train) 3.2443 | Acc(train) 0.3117 | Acc(val) 0.4293 |*
Epoch 00018 | Loss(train) 3.2016 | Acc(train) 0.3152 | Acc(val) 0.4282 |
Epoch 00019 | Loss(train) 3.1443 | Acc(train) 0.3269 | Acc(val) 0.4266 |
Epoch 00020 | Loss(train) 3.0938 | Acc(train) 0.3247 | Acc(val) 0.4213 |
Epoch 00021 | Loss(train) 3.0598 | Acc(train) 0.3133 | Acc(val) 0.4197 |
Epoch 00022 | Loss(train) 3.0315 | Acc(train) 0.3162 | Acc(val) 0.4213 |
Epoch 00023 | Loss(train) 2.9771 | Acc(train) 0.3128 | Acc(val) 0.4266 |
Epoch 00024 | Loss(train) 2.9675 | Acc(train) 0.3290 | Acc(val) 0.4324 |*
Epoch 00025 | Loss(train) 2.9204 | Acc(train) 0.3263 | Acc(val) 0.4436 |*
Epoch 00026 | Loss(train) 2.9045 | Acc(train) 0.3356 | Acc(val) 0.4606 |*
Epoch 00027 | Loss(train) 2.8839 | Acc(train) 0.3335 | Acc(val) 0.4809 |*
Epoch 00028 | Loss(train) 2.8787 | Acc(train) 0.3372 | Acc(val) 0.4920 |*
Epoch 00029 | Loss(train) 2.8352 | Acc(train) 0.3529 | Acc(val) 0.5048 |*
Epoch 00030 | Loss(train) 2.8032 | Acc(train) 0.3620 | Acc(val) 0.5170 |*
Epoch 00031 | Loss(train) 2.7941 | Acc(train) 0.3649 | Acc(val) 0.5181 |*
Epoch 00032 | Loss(train) 2.7984 | Acc(train) 0.3707 | Acc(val) 0.5207 |*
Epoch 00033 | Loss(train) 2.7870 | Acc(train) 0.3614 | Acc(val) 0.5202 |
Epoch 00034 | Loss(train) 2.7335 | Acc(train) 0.3769 | Acc(val) 0.5144 |
Epoch 00035 | Loss(train) 2.7697 | Acc(train) 0.3636 | Acc(val) 0.5106 |
Epoch 00036 | Loss(train) 2.7675 | Acc(train) 0.3625 | Acc(val) 0.5101 |
Epoch 00037 | Loss(train) 2.7246 | Acc(train) 0.3734 | Acc(val) 0.5080 |
Epoch 00038 | Loss(train) 2.7040 | Acc(train) 0.3723 | Acc(val) 0.5101 |
Epoch 00039 | Loss(train) 2.7125 | Acc(train) 0.3753 | Acc(val) 0.5101 |
Epoch 00040 | Loss(train) 2.6903 | Acc(train) 0.3737 | Acc(val) 0.5122 |
Epoch 00041 | Loss(train) 2.6894 | Acc(train) 0.3798 | Acc(val) 0.5191 |
Epoch 00042 | Loss(train) 2.6855 | Acc(train) 0.3737 | Acc(val) 0.5255 |*
Epoch 00043 | Loss(train) 2.6965 | Acc(train) 0.3763 | Acc(val) 0.5293 |*
Epoch 00044 | Loss(train) 2.6729 | Acc(train) 0.3838 | Acc(val) 0.5378 |*
Epoch 00045 | Loss(train) 2.6317 | Acc(train) 0.3870 | Acc(val) 0.5399 |*
Epoch 00046 | Loss(train) 2.6488 | Acc(train) 0.3910 | Acc(val) 0.5420 |*
Epoch 00047 | Loss(train) 2.6296 | Acc(train) 0.4080 | Acc(val) 0.5431 |*
Epoch 00048 | Loss(train) 2.6009 | Acc(train) 0.4035 | Acc(val) 0.5436 |*
Epoch 00049 | Loss(train) 2.6180 | Acc(train) 0.4013 | Acc(val) 0.5415 |
Epoch 00050 | Loss(train) 2.6013 | Acc(train) 0.4032 | Acc(val) 0.5410 |
Epoch 00051 | Loss(train) 2.6100 | Acc(train) 0.3899 | Acc(val) 0.5340 |
Epoch 00052 | Loss(train) 2.5804 | Acc(train) 0.4053 | Acc(val) 0.5324 |
Epoch 00053 | Loss(train) 2.5451 | Acc(train) 0.4082 | Acc(val) 0.5346 |
Epoch 00054 | Loss(train) 2.6011 | Acc(train) 0.4013 | Acc(val) 0.5415 |
Epoch 00055 | Loss(train) 2.5579 | Acc(train) 0.4093 | Acc(val) 0.5457 |*
Epoch 00056 | Loss(train) 2.5597 | Acc(train) 0.4021 | Acc(val) 0.5500 |*
Epoch 00057 | Loss(train) 2.5628 | Acc(train) 0.4056 | Acc(val) 0.5484 |
Epoch 00058 | Loss(train) 2.5617 | Acc(train) 0.4093 | Acc(val) 0.5521 |*
Epoch 00059 | Loss(train) 2.5541 | Acc(train) 0.4178 | Acc(val) 0.5574 |*
Epoch 00060 | Loss(train) 2.5643 | Acc(train) 0.4173 | Acc(val) 0.5574 |
Epoch 00061 | Loss(train) 2.5726 | Acc(train) 0.4082 | Acc(val) 0.5612 |*
Epoch 00062 | Loss(train) 2.5579 | Acc(train) 0.4024 | Acc(val) 0.5559 |
Epoch 00063 | Loss(train) 2.5514 | Acc(train) 0.4199 | Acc(val) 0.5553 |
Epoch 00064 | Loss(train) 2.5705 | Acc(train) 0.4101 | Acc(val) 0.5516 |
Epoch 00065 | Loss(train) 2.5336 | Acc(train) 0.4197 | Acc(val) 0.5495 |
Epoch 00066 | Loss(train) 2.5400 | Acc(train) 0.4229 | Acc(val) 0.5479 |
Epoch 00067 | Loss(train) 2.5620 | Acc(train) 0.4021 | Acc(val) 0.5511 |
Epoch 00068 | Loss(train) 2.5715 | Acc(train) 0.4085 | Acc(val) 0.5521 |
Epoch 00069 | Loss(train) 2.5306 | Acc(train) 0.4117 | Acc(val) 0.5537 |
Epoch 00070 | Loss(train) 2.5750 | Acc(train) 0.4000 | Acc(val) 0.5559 |
Epoch 00071 | Loss(train) 2.5126 | Acc(train) 0.4141 | Acc(val) 0.5574 |
