  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Epoch 00021 | Loss(train) 0.9502 | Acc(train) 0.5734 | Acc(val) 0.6379 |*
Epoch 00022 | Loss(train) 0.9415 | Acc(train) 0.6039 | Acc(val) 0.6552 |*
Epoch 00023 | Loss(train) 0.9342 | Acc(train) 0.6262 | Acc(val) 0.6755 |*
Epoch 00024 | Loss(train) 0.9253 | Acc(train) 0.6320 | Acc(val) 0.6897 |*
Epoch 00025 | Loss(train) 0.9178 | Acc(train) 0.6569 | Acc(val) 0.6962 |*
Epoch 00026 | Loss(train) 0.9098 | Acc(train) 0.6589 | Acc(val) 0.7099 |*
Epoch 00027 | Loss(train) 0.9021 | Acc(train) 0.6614 | Acc(val) 0.7206 |*
Epoch 00028 | Loss(train) 0.8955 | Acc(train) 0.6564 | Acc(val) 0.7307 |*
Epoch 00029 | Loss(train) 0.8889 | Acc(train) 0.6673 | Acc(val) 0.7378 |*
Epoch 00030 | Loss(train) 0.8820 | Acc(train) 0.6741 | Acc(val) 0.7490 |*
Epoch 00031 | Loss(train) 0.8763 | Acc(train) 0.6728 | Acc(val) 0.7576 |*
Epoch 00032 | Loss(train) 0.8634 | Acc(train) 0.7035 | Acc(val) 0.7657 |*
Epoch 00033 | Loss(train) 0.8558 | Acc(train) 0.7000 | Acc(val) 0.7738 |*
Epoch 00034 | Loss(train) 0.8487 | Acc(train) 0.7025 | Acc(val) 0.7804 |*
Epoch 00035 | Loss(train) 0.8395 | Acc(train) 0.7215 | Acc(val) 0.7845 |*
Epoch 00036 | Loss(train) 0.8361 | Acc(train) 0.7243 | Acc(val) 0.7850 |*
Epoch 00037 | Loss(train) 0.8257 | Acc(train) 0.7231 | Acc(val) 0.7896 |*
Epoch 00038 | Loss(train) 0.8211 | Acc(train) 0.7231 | Acc(val) 0.7931 |*
Epoch 00039 | Loss(train) 0.8144 | Acc(train) 0.7302 | Acc(val) 0.7951 |*
Epoch 00040 | Loss(train) 0.8046 | Acc(train) 0.7400 | Acc(val) 0.7992 |*
Epoch 00041 | Loss(train) 0.7918 | Acc(train) 0.7403 | Acc(val) 0.8007 |*
Epoch 00042 | Loss(train) 0.7883 | Acc(train) 0.7449 | Acc(val) 0.8048 |*
Epoch 00043 | Loss(train) 0.7821 | Acc(train) 0.7373 | Acc(val) 0.8058 |*
Epoch 00044 | Loss(train) 0.7755 | Acc(train) 0.7474 | Acc(val) 0.8053 |
Epoch 00045 | Loss(train) 0.7656 | Acc(train) 0.7535 | Acc(val) 0.8063 |*
Epoch 00046 | Loss(train) 0.7606 | Acc(train) 0.7517 | Acc(val) 0.8073 |*
Epoch 00047 | Loss(train) 0.7578 | Acc(train) 0.7553 | Acc(val) 0.8038 |
Epoch 00048 | Loss(train) 0.7520 | Acc(train) 0.7499 | Acc(val) 0.8073 |
Epoch 00049 | Loss(train) 0.7452 | Acc(train) 0.7662 | Acc(val) 0.8109 |*
Epoch 00050 | Loss(train) 0.7310 | Acc(train) 0.7730 | Acc(val) 0.8119 |*
Epoch 00051 | Loss(train) 0.7292 | Acc(train) 0.7657 | Acc(val) 0.8164 |*
Epoch 00052 | Loss(train) 0.7215 | Acc(train) 0.7682 | Acc(val) 0.8185 |*
Epoch 00053 | Loss(train) 0.7201 | Acc(train) 0.7707 | Acc(val) 0.8180 |
Epoch 00054 | Loss(train) 0.7105 | Acc(train) 0.7707 | Acc(val) 0.8180 |
Epoch 00055 | Loss(train) 0.7040 | Acc(train) 0.7756 | Acc(val) 0.8215 |*
Epoch 00056 | Loss(train) 0.6978 | Acc(train) 0.7829 | Acc(val) 0.8225 |*
Epoch 00057 | Loss(train) 0.6891 | Acc(train) 0.7809 | Acc(val) 0.8245 |*
Epoch 00058 | Loss(train) 0.6869 | Acc(train) 0.7806 | Acc(val) 0.8266 |*
Epoch 00059 | Loss(train) 0.6848 | Acc(train) 0.7857 | Acc(val) 0.8286 |*
Epoch 00060 | Loss(train) 0.6854 | Acc(train) 0.7763 | Acc(val) 0.8301 |*
Epoch 00061 | Loss(train) 0.6810 | Acc(train) 0.7865 | Acc(val) 0.8332 |*
Epoch 00062 | Loss(train) 0.6642 | Acc(train) 0.7918 | Acc(val) 0.8347 |*
Epoch 00063 | Loss(train) 0.6698 | Acc(train) 0.7809 | Acc(val) 0.8322 |
Epoch 00064 | Loss(train) 0.6606 | Acc(train) 0.7804 | Acc(val) 0.8311 |
Epoch 00065 | Loss(train) 0.6536 | Acc(train) 0.7898 | Acc(val) 0.8301 |
Epoch 00066 | Loss(train) 0.6456 | Acc(train) 0.7984 | Acc(val) 0.8306 |
Epoch 00067 | Loss(train) 0.6459 | Acc(train) 0.7928 | Acc(val) 0.8332 |
Epoch 00068 | Loss(train) 0.6465 | Acc(train) 0.7961 | Acc(val) 0.8337 |
Epoch 00069 | Loss(train) 0.6379 | Acc(train) 0.7905 | Acc(val) 0.8342 |
Epoch 00070 | Loss(train) 0.6368 | Acc(train) 0.7966 | Acc(val) 0.8337 |
Epoch 00071 | Loss(train) 0.6283 | Acc(train) 0.8024 | Acc(val) 0.8347 |
Epoch 00072 | Loss(train) 0.6264 | Acc(train) 0.7961 | Acc(val) 0.8347 |
Epoch 00073 | Loss(train) 0.6251 | Acc(train) 0.8027 | Acc(val) 0.8362 |*
Epoch 00074 | Loss(train) 0.6205 | Acc(train) 0.8004 | Acc(val) 0.8372 |*
Epoch 00075 | Loss(train) 0.6184 | Acc(train) 0.8029 | Acc(val) 0.8377 |*
Epoch 00076 | Loss(train) 0.6194 | Acc(train) 0.7971 | Acc(val) 0.8377 |
Epoch 00077 | Loss(train) 0.6182 | Acc(train) 0.8032 | Acc(val) 0.8377 |
Epoch 00078 | Loss(train) 0.6083 | Acc(train) 0.8012 | Acc(val) 0.8387 |*
Epoch 00079 | Loss(train) 0.6096 | Acc(train) 0.8042 | Acc(val) 0.8403 |*
Epoch 00080 | Loss(train) 0.6025 | Acc(train) 0.8073 | Acc(val) 0.8428 |*
Epoch 00081 | Loss(train) 0.5957 | Acc(train) 0.8106 | Acc(val) 0.8428 |
Epoch 00082 | Loss(train) 0.5950 | Acc(train) 0.8128 | Acc(val) 0.8423 |
Epoch 00083 | Loss(train) 0.5934 | Acc(train) 0.8128 | Acc(val) 0.8428 |
Epoch 00084 | Loss(train) 0.5903 | Acc(train) 0.8078 | Acc(val) 0.8433 |*
Epoch 00085 | Loss(train) 0.5888 | Acc(train) 0.8093 | Acc(val) 0.8433 |
Epoch 00086 | Loss(train) 0.5886 | Acc(train) 0.8108 | Acc(val) 0.8443 |*
Epoch 00087 | Loss(train) 0.5835 | Acc(train) 0.8118 | Acc(val) 0.8433 |
Epoch 00088 | Loss(train) 0.5801 | Acc(train) 0.8131 | Acc(val) 0.8423 |
Epoch 00089 | Loss(train) 0.5795 | Acc(train) 0.8169 | Acc(val) 0.8438 |
Epoch 00090 | Loss(train) 0.5799 | Acc(train) 0.8187 | Acc(val) 0.8458 |*
Epoch 00091 | Loss(train) 0.5736 | Acc(train) 0.8230 | Acc(val) 0.8469 |*
Epoch 00092 | Loss(train) 0.5742 | Acc(train) 0.8126 | Acc(val) 0.8484 |*
Epoch 00093 | Loss(train) 0.5695 | Acc(train) 0.8199 | Acc(val) 0.8458 |
Epoch 00094 | Loss(train) 0.5708 | Acc(train) 0.8121 | Acc(val) 0.8469 |
Epoch 00095 | Loss(train) 0.5675 | Acc(train) 0.8202 | Acc(val) 0.8484 |
Epoch 00096 | Loss(train) 0.5656 | Acc(train) 0.8149 | Acc(val) 0.8484 |
Epoch 00097 | Loss(train) 0.5620 | Acc(train) 0.8217 | Acc(val) 0.8489 |*
Epoch 00098 | Loss(train) 0.5637 | Acc(train) 0.8242 | Acc(val) 0.8489 |
Epoch 00099 | Loss(train) 0.5535 | Acc(train) 0.8242 | Acc(val) 0.8489 |
Epoch 00100 | Loss(train) 0.5559 | Acc(train) 0.8227 | Acc(val) 0.8474 |
Epoch 00101 | Loss(train) 0.5582 | Acc(train) 0.8159 | Acc(val) 0.8489 |
Epoch 00102 | Loss(train) 0.5521 | Acc(train) 0.8227 | Acc(val) 0.8489 |
Epoch 00103 | Loss(train) 0.5555 | Acc(train) 0.8171 | Acc(val) 0.8494 |*
Epoch 00104 | Loss(train) 0.5507 | Acc(train) 0.8202 | Acc(val) 0.8499 |*
Epoch 00105 | Loss(train) 0.5467 | Acc(train) 0.8230 | Acc(val) 0.8479 |
Epoch 00106 | Loss(train) 0.5413 | Acc(train) 0.8291 | Acc(val) 0.8504 |*
Epoch 00107 | Loss(train) 0.5477 | Acc(train) 0.8194 | Acc(val) 0.8504 |/root/WATS/model/calibrator.py:194: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),

Epoch 00108 | Loss(train) 0.5380 | Acc(train) 0.8324 | Acc(val) 0.8489 |
Epoch 00109 | Loss(train) 0.5366 | Acc(train) 0.8177 | Acc(val) 0.8504 |
Epoch 00110 | Loss(train) 0.5429 | Acc(train) 0.8209 | Acc(val) 0.8499 |
Epoch 00111 | Loss(train) 0.5272 | Acc(train) 0.8354 | Acc(val) 0.8499 |
Epoch 00112 | Loss(train) 0.5376 | Acc(train) 0.8260 | Acc(val) 0.8514 |*
Epoch 00113 | Loss(train) 0.5377 | Acc(train) 0.8258 | Acc(val) 0.8514 |
Epoch 00114 | Loss(train) 0.5312 | Acc(train) 0.8359 | Acc(val) 0.8514 |
Epoch 00115 | Loss(train) 0.5334 | Acc(train) 0.8311 | Acc(val) 0.8509 |
Epoch 00116 | Loss(train) 0.5314 | Acc(train) 0.8280 | Acc(val) 0.8504 |
Epoch 00117 | Loss(train) 0.5285 | Acc(train) 0.8258 | Acc(val) 0.8509 |
Epoch 00118 | Loss(train) 0.5239 | Acc(train) 0.8311 | Acc(val) 0.8524 |*
Epoch 00119 | Loss(train) 0.5240 | Acc(train) 0.8291 | Acc(val) 0.8529 |*
Epoch 00120 | Loss(train) 0.5314 | Acc(train) 0.8306 | Acc(val) 0.8509 |
Epoch 00121 | Loss(train) 0.5315 | Acc(train) 0.8283 | Acc(val) 0.8509 |
Epoch 00122 | Loss(train) 0.5210 | Acc(train) 0.8357 | Acc(val) 0.8529 |
Epoch 00123 | Loss(train) 0.5198 | Acc(train) 0.8336 | Acc(val) 0.8540 |*
Epoch 00124 | Loss(train) 0.5248 | Acc(train) 0.8291 | Acc(val) 0.8529 |
Epoch 00125 | Loss(train) 0.5188 | Acc(train) 0.8303 | Acc(val) 0.8524 |
Epoch 00126 | Loss(train) 0.5185 | Acc(train) 0.8278 | Acc(val) 0.8519 |
Epoch 00127 | Loss(train) 0.5229 | Acc(train) 0.8303 | Acc(val) 0.8514 |
Epoch 00128 | Loss(train) 0.5160 | Acc(train) 0.8324 | Acc(val) 0.8524 |
Epoch 00129 | Loss(train) 0.5163 | Acc(train) 0.8352 | Acc(val) 0.8545 |*
Epoch 00130 | Loss(train) 0.5113 | Acc(train) 0.8336 | Acc(val) 0.8545 |
Epoch 00131 | Loss(train) 0.5092 | Acc(train) 0.8377 | Acc(val) 0.8550 |*
Epoch 00132 | Loss(train) 0.5052 | Acc(train) 0.8423 | Acc(val) 0.8540 |
Epoch 00133 | Loss(train) 0.5123 | Acc(train) 0.8369 | Acc(val) 0.8529 |
Epoch 00134 | Loss(train) 0.5108 | Acc(train) 0.8278 | Acc(val) 0.8545 |
Epoch 00135 | Loss(train) 0.5023 | Acc(train) 0.8359 | Acc(val) 0.8545 |
Epoch 00136 | Loss(train) 0.5066 | Acc(train) 0.8450 | Acc(val) 0.8524 |
Epoch 00137 | Loss(train) 0.5050 | Acc(train) 0.8390 | Acc(val) 0.8514 |
Epoch 00138 | Loss(train) 0.5076 | Acc(train) 0.8374 | Acc(val) 0.8560 |*
Epoch 00139 | Loss(train) 0.5051 | Acc(train) 0.8339 | Acc(val) 0.8545 |
Epoch 00140 | Loss(train) 0.5008 | Acc(train) 0.8407 | Acc(val) 0.8524 |
Epoch 00141 | Loss(train) 0.5039 | Acc(train) 0.8395 | Acc(val) 0.8534 |
Epoch 00142 | Loss(train) 0.4954 | Acc(train) 0.8417 | Acc(val) 0.8555 |
Epoch 00143 | Loss(train) 0.4960 | Acc(train) 0.8410 | Acc(val) 0.8534 |
Epoch 00144 | Loss(train) 0.4945 | Acc(train) 0.8453 | Acc(val) 0.8524 |
Epoch 00145 | Loss(train) 0.5029 | Acc(train) 0.8382 | Acc(val) 0.8519 |
Epoch 00146 | Loss(train) 0.4923 | Acc(train) 0.8392 | Acc(val) 0.8550 |
Epoch 00147 | Loss(train) 0.4948 | Acc(train) 0.8392 | Acc(val) 0.8540 |
Epoch 00148 | Loss(train) 0.4874 | Acc(train) 0.8435 | Acc(val) 0.8529 |
Epoch 00149 | Loss(train) 0.4912 | Acc(train) 0.8352 | Acc(val) 0.8545 |
Epoch 00150 | Loss(train) 0.5007 | Acc(train) 0.8324 | Acc(val) 0.8545 |
Epoch 00151 | Loss(train) 0.4912 | Acc(train) 0.8430 | Acc(val) 0.8540 |
Epoch 00152 | Loss(train) 0.4926 | Acc(train) 0.8405 | Acc(val) 0.8545 |
Epoch 00153 | Loss(train) 0.4894 | Acc(train) 0.8453 | Acc(val) 0.8550 |
Epoch 00154 | Loss(train) 0.4970 | Acc(train) 0.8430 | Acc(val) 0.8555 |
Epoch 00155 | Loss(train) 0.4969 | Acc(train) 0.8390 | Acc(val) 0.8550 |
Epoch 00156 | Loss(train) 0.4885 | Acc(train) 0.8374 | Acc(val) 0.8560 |
Epoch 00157 | Loss(train) 0.4867 | Acc(train) 0.8466 | Acc(val) 0.8555 |
Epoch 00158 | Loss(train) 0.4868 | Acc(train) 0.8417 | Acc(val) 0.8550 |
Epoch 00159 | Loss(train) 0.4868 | Acc(train) 0.8423 | Acc(val) 0.8540 |
Epoch 00160 | Loss(train) 0.4862 | Acc(train) 0.8468 | Acc(val) 0.8550 |
Epoch 00161 | Loss(train) 0.4859 | Acc(train) 0.8433 | Acc(val) 0.8540 |
Epoch 00162 | Loss(train) 0.4868 | Acc(train) 0.8417 | Acc(val) 0.8550 |
Epoch 00163 | Loss(train) 0.4868 | Acc(train) 0.8382 | Acc(val) 0.8550 |
Epoch 00164 | Loss(train) 0.4800 | Acc(train) 0.8445 | Acc(val) 0.8570 |*
Epoch 00165 | Loss(train) 0.4902 | Acc(train) 0.8382 | Acc(val) 0.8570 |
Epoch 00166 | Loss(train) 0.4828 | Acc(train) 0.8395 | Acc(val) 0.8550 |
Epoch 00167 | Loss(train) 0.4791 | Acc(train) 0.8473 | Acc(val) 0.8580 |*
Epoch 00168 | Loss(train) 0.4870 | Acc(train) 0.8428 | Acc(val) 0.8560 |
Epoch 00169 | Loss(train) 0.4726 | Acc(train) 0.8448 | Acc(val) 0.8565 |
Epoch 00170 | Loss(train) 0.4847 | Acc(train) 0.8410 | Acc(val) 0.8575 |
Epoch 00171 | Loss(train) 0.4833 | Acc(train) 0.8402 | Acc(val) 0.8560 |
Epoch 00172 | Loss(train) 0.4829 | Acc(train) 0.8354 | Acc(val) 0.8565 |
Epoch 00173 | Loss(train) 0.4770 | Acc(train) 0.8458 | Acc(val) 0.8555 |
Epoch 00174 | Loss(train) 0.4674 | Acc(train) 0.8519 | Acc(val) 0.8555 |
Epoch 00175 | Loss(train) 0.4755 | Acc(train) 0.8415 | Acc(val) 0.8565 |
Epoch 00176 | Loss(train) 0.4787 | Acc(train) 0.8407 | Acc(val) 0.8540 |
Epoch 00177 | Loss(train) 0.4780 | Acc(train) 0.8384 | Acc(val) 0.8575 |
Epoch 00178 | Loss(train) 0.4752 | Acc(train) 0.8428 | Acc(val) 0.8555 |
Epoch 00179 | Loss(train) 0.4754 | Acc(train) 0.8445 | Acc(val) 0.8545 |
Epoch 00180 | Loss(train) 0.4739 | Acc(train) 0.8471 | Acc(val) 0.8555 |
Epoch 00181 | Loss(train) 0.4778 | Acc(train) 0.8476 | Acc(val) 0.8570 |
Epoch 00182 | Loss(train) 0.4684 | Acc(train) 0.8506 | Acc(val) 0.8570 |
Epoch 00183 | Loss(train) 0.4708 | Acc(train) 0.8504 | Acc(val) 0.8580 |
Epoch 00184 | Loss(train) 0.4726 | Acc(train) 0.8430 | Acc(val) 0.8560 |
Epoch 00185 | Loss(train) 0.4709 | Acc(train) 0.8455 | Acc(val) 0.8560 |
Epoch 00186 | Loss(train) 0.4702 | Acc(train) 0.8481 | Acc(val) 0.8560 |
Epoch 00187 | Loss(train) 0.4653 | Acc(train) 0.8504 | Acc(val) 0.8560 |
Epoch 00188 | Loss(train) 0.4675 | Acc(train) 0.8450 | Acc(val) 0.8585 |*
Epoch 00189 | Loss(train) 0.4725 | Acc(train) 0.8476 | Acc(val) 0.8555 |
Epoch 00190 | Loss(train) 0.4653 | Acc(train) 0.8478 | Acc(val) 0.8570 |
Epoch 00191 | Loss(train) 0.4698 | Acc(train) 0.8443 | Acc(val) 0.8570 |
Epoch 00192 | Loss(train) 0.4680 | Acc(train) 0.8461 | Acc(val) 0.8560 |
Epoch 00193 | Loss(train) 0.4674 | Acc(train) 0.8466 | Acc(val) 0.8600 |*
Epoch 00194 | Loss(train) 0.4674 | Acc(train) 0.8524 | Acc(val) 0.8575 |
Epoch 00195 | Loss(train) 0.4652 | Acc(train) 0.8496 | Acc(val) 0.8565 |
Epoch 00196 | Loss(train) 0.4663 | Acc(train) 0.8509 | Acc(val) 0.8540 |
Epoch 00197 | Loss(train) 0.4660 | Acc(train) 0.8483 | Acc(val) 0.8585 |
Epoch 00198 | Loss(train) 0.4692 | Acc(train) 0.8468 | Acc(val) 0.8595 |
Epoch 00199 | Loss(train) 0.4659 | Acc(train) 0.8430 | Acc(val) 0.8611 |*
Epoch 00200 | Loss(train) 0.4574 | Acc(train) 0.8575 | Acc(val) 0.8600 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcn', 'num_layer': 2, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 500, 'out_dim': 3}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 105.30 MB
GPU Memory Reserved: 170.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.0992 | Acc(train) 0.3378 | Acc(val) 0.4249 |*
Epoch 00002 | Loss(train) 1.0904 | Acc(train) 0.4403 | Acc(val) 0.4042 |
Epoch 00003 | Loss(train) 1.0826 | Acc(train) 0.4296 | Acc(val) 0.4092 |
Epoch 00004 | Loss(train) 1.0741 | Acc(train) 0.4398 | Acc(val) 0.4214 |
Epoch 00005 | Loss(train) 1.0647 | Acc(train) 0.4517 | Acc(val) 0.4366 |*
Epoch 00006 | Loss(train) 1.0573 | Acc(train) 0.4471 | Acc(val) 0.4660 |*
Epoch 00007 | Loss(train) 1.0463 | Acc(train) 0.4874 | Acc(val) 0.4924 |*
Epoch 00008 | Loss(train) 1.0395 | Acc(train) 0.5082 | Acc(val) 0.5314 |*
Epoch 00009 | Loss(train) 1.0323 | Acc(train) 0.5278 | Acc(val) 0.5700 |*
Epoch 00010 | Loss(train) 1.0251 | Acc(train) 0.5481 | Acc(val) 0.6055 |*
Epoch 00011 | Loss(train) 1.0153 | Acc(train) 0.5689 | Acc(val) 0.6334 |*
Epoch 00012 | Loss(train) 1.0092 | Acc(train) 0.5765 | Acc(val) 0.6466 |*
Epoch 00013 | Loss(train) 1.0015 | Acc(train) 0.5823 | Acc(val) 0.6537 |*
Epoch 00014 | Loss(train) 0.9929 | Acc(train) 0.5973 | Acc(val) 0.6613 |*
Epoch 00015 | Loss(train) 0.9885 | Acc(train) 0.5985 | Acc(val) 0.6638 |*
Epoch 00016 | Loss(train) 0.9783 | Acc(train) 0.5988 | Acc(val) 0.6684 |*
Epoch 00017 | Loss(train) 0.9720 | Acc(train) 0.5988 | Acc(val) 0.6709 |*
Epoch 00018 | Loss(train) 0.9679 | Acc(train) 0.5904 | Acc(val) 0.6699 |
Epoch 00019 | Loss(train) 0.9559 | Acc(train) 0.6072 | Acc(val) 0.6689 |
Epoch 00020 | Loss(train) 0.9516 | Acc(train) 0.6061 | Acc(val) 0.6678 |
Epoch 00021 | Loss(train) 0.9426 | Acc(train) 0.6084 | Acc(val) 0.6643 |
Epoch 00022 | Loss(train) 0.9343 | Acc(train) 0.6092 | Acc(val) 0.6628 |
Epoch 00023 | Loss(train) 0.9252 | Acc(train) 0.6208 | Acc(val) 0.6663 |
Epoch 00024 | Loss(train) 0.9189 | Acc(train) 0.6132 | Acc(val) 0.6668 |
Epoch 00025 | Loss(train) 0.9100 | Acc(train) 0.6203 | Acc(val) 0.6668 |
Epoch 00026 | Loss(train) 0.9053 | Acc(train) 0.6198 | Acc(val) 0.6673 |
Epoch 00027 | Loss(train) 0.8969 | Acc(train) 0.6198 | Acc(val) 0.6694 |
Epoch 00028 | Loss(train) 0.8863 | Acc(train) 0.6252 | Acc(val) 0.6729 |*
Epoch 00029 | Loss(train) 0.8814 | Acc(train) 0.6254 | Acc(val) 0.6765 |*
Epoch 00030 | Loss(train) 0.8715 | Acc(train) 0.6297 | Acc(val) 0.6790 |*
Epoch 00031 | Loss(train) 0.8669 | Acc(train) 0.6290 | Acc(val) 0.6831 |*
Epoch 00032 | Loss(train) 0.8595 | Acc(train) 0.6439 | Acc(val) 0.6846 |*
Epoch 00033 | Loss(train) 0.8489 | Acc(train) 0.6442 | Acc(val) 0.6881 |*
Epoch 00034 | Loss(train) 0.8432 | Acc(train) 0.6396 | Acc(val) 0.6912 |*
Epoch 00035 | Loss(train) 0.8365 | Acc(train) 0.6472 | Acc(val) 0.6968 |*
Epoch 00036 | Loss(train) 0.8273 | Acc(train) 0.6637 | Acc(val) 0.7039 |*
Epoch 00037 | Loss(train) 0.8167 | Acc(train) 0.6670 | Acc(val) 0.7140 |*
Epoch 00038 | Loss(train) 0.8157 | Acc(train) 0.6665 | Acc(val) 0.7231 |*
Epoch 00039 | Loss(train) 0.8096 | Acc(train) 0.6675 | Acc(val) 0.7368 |*
Epoch 00040 | Loss(train) 0.8010 | Acc(train) 0.6820 | Acc(val) 0.7470 |*
Epoch 00041 | Loss(train) 0.7915 | Acc(train) 0.6906 | Acc(val) 0.7581 |*
Epoch 00042 | Loss(train) 0.7847 | Acc(train) 0.6977 | Acc(val) 0.7713 |*
Epoch 00043 | Loss(train) 0.7786 | Acc(train) 0.7177 | Acc(val) 0.7774 |*
Epoch 00044 | Loss(train) 0.7726 | Acc(train) 0.7165 | Acc(val) 0.7890 |*
Epoch 00045 | Loss(train) 0.7597 | Acc(train) 0.7218 | Acc(val) 0.7956 |*
Epoch 00046 | Loss(train) 0.7602 | Acc(train) 0.7256 | Acc(val) 0.7997 |*
Epoch 00047 | Loss(train) 0.7491 | Acc(train) 0.7317 | Acc(val) 0.8032 |*
Epoch 00048 | Loss(train) 0.7439 | Acc(train) 0.7431 | Acc(val) 0.8068 |*
Epoch 00049 | Loss(train) 0.7378 | Acc(train) 0.7474 | Acc(val) 0.8093 |*
Epoch 00050 | Loss(train) 0.7279 | Acc(train) 0.7479 | Acc(val) 0.8093 |
Epoch 00051 | Loss(train) 0.7352 | Acc(train) 0.7314 | Acc(val) 0.8129 |*
Epoch 00052 | Loss(train) 0.7221 | Acc(train) 0.7479 | Acc(val) 0.8139 |*
Epoch 00053 | Loss(train) 0.7119 | Acc(train) 0.7517 | Acc(val) 0.8164 |*
Epoch 00054 | Loss(train) 0.7075 | Acc(train) 0.7535 | Acc(val) 0.8180 |*
Epoch 00055 | Loss(train) 0.7084 | Acc(train) 0.7512 | Acc(val) 0.8180 |
Epoch 00056 | Loss(train) 0.6972 | Acc(train) 0.7639 | Acc(val) 0.8220 |*
Epoch 00057 | Loss(train) 0.6915 | Acc(train) 0.7624 | Acc(val) 0.8235 |*
Epoch 00058 | Loss(train) 0.6863 | Acc(train) 0.7659 | Acc(val) 0.8256 |*
Epoch 00059 | Loss(train) 0.6867 | Acc(train) 0.7649 | Acc(val) 0.8266 |*
Epoch 00060 | Loss(train) 0.6778 | Acc(train) 0.7758 | Acc(val) 0.8281 |*
Epoch 00061 | Loss(train) 0.6723 | Acc(train) 0.7794 | Acc(val) 0.8281 |
Epoch 00062 | Loss(train) 0.6652 | Acc(train) 0.7806 | Acc(val) 0.8291 |*
Epoch 00063 | Loss(train) 0.6647 | Acc(train) 0.7819 | Acc(val) 0.8301 |*
Epoch 00064 | Loss(train) 0.6642 | Acc(train) 0.7771 | Acc(val) 0.8306 |*
Epoch 00065 | Loss(train) 0.6584 | Acc(train) 0.7804 | Acc(val) 0.8301 |
Epoch 00066 | Loss(train) 0.6460 | Acc(train) 0.7885 | Acc(val) 0.8306 |
