  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Epoch 00021 | Loss(train) 1.7282 | Acc(train) 0.2939 | Acc(val) 0.3026 |
Epoch 00022 | Loss(train) 1.7232 | Acc(train) 0.3031 | Acc(val) 0.3100 |*
Epoch 00023 | Loss(train) 1.7073 | Acc(train) 0.3068 | Acc(val) 0.3137 |*
Epoch 00024 | Loss(train) 1.7058 | Acc(train) 0.3105 | Acc(val) 0.3173 |*
Epoch 00025 | Loss(train) 1.6886 | Acc(train) 0.3253 | Acc(val) 0.3173 |
Epoch 00026 | Loss(train) 1.6831 | Acc(train) 0.3272 | Acc(val) 0.3173 |
Epoch 00027 | Loss(train) 1.6695 | Acc(train) 0.3346 | Acc(val) 0.3247 |*
Epoch 00028 | Loss(train) 1.6453 | Acc(train) 0.3401 | Acc(val) 0.3395 |*
Epoch 00029 | Loss(train) 1.6434 | Acc(train) 0.3586 | Acc(val) 0.3469 |*
Epoch 00030 | Loss(train) 1.6351 | Acc(train) 0.3808 | Acc(val) 0.3506 |*
Epoch 00031 | Loss(train) 1.6168 | Acc(train) 0.3826 | Acc(val) 0.3542 |*
Epoch 00032 | Loss(train) 1.6080 | Acc(train) 0.3919 | Acc(val) 0.3579 |*
Epoch 00033 | Loss(train) 1.5993 | Acc(train) 0.3715 | Acc(val) 0.3579 |
Epoch 00034 | Loss(train) 1.5925 | Acc(train) 0.3845 | Acc(val) 0.3616 |*
Epoch 00035 | Loss(train) 1.5758 | Acc(train) 0.4233 | Acc(val) 0.3690 |*
Epoch 00036 | Loss(train) 1.5532 | Acc(train) 0.4011 | Acc(val) 0.3801 |*
Epoch 00037 | Loss(train) 1.5618 | Acc(train) 0.4214 | Acc(val) 0.4022 |*
Epoch 00038 | Loss(train) 1.5382 | Acc(train) 0.4325 | Acc(val) 0.4207 |*
Epoch 00039 | Loss(train) 1.5235 | Acc(train) 0.4399 | Acc(val) 0.4354 |*
Epoch 00040 | Loss(train) 1.4931 | Acc(train) 0.4713 | Acc(val) 0.4391 |*
Epoch 00041 | Loss(train) 1.4970 | Acc(train) 0.4806 | Acc(val) 0.4539 |*
Epoch 00042 | Loss(train) 1.4981 | Acc(train) 0.4750 | Acc(val) 0.4686 |*
Epoch 00043 | Loss(train) 1.4642 | Acc(train) 0.5102 | Acc(val) 0.4760 |*
Epoch 00044 | Loss(train) 1.4439 | Acc(train) 0.5305 | Acc(val) 0.4834 |*
Epoch 00045 | Loss(train) 1.4456 | Acc(train) 0.5323 | Acc(val) 0.4945 |*
Epoch 00046 | Loss(train) 1.4247 | Acc(train) 0.5527 | Acc(val) 0.5018 |*
Epoch 00047 | Loss(train) 1.4264 | Acc(train) 0.5287 | Acc(val) 0.5129 |*
Epoch 00048 | Loss(train) 1.3968 | Acc(train) 0.5582 | Acc(val) 0.5277 |*
Epoch 00049 | Loss(train) 1.3952 | Acc(train) 0.5675 | Acc(val) 0.5535 |*
Epoch 00050 | Loss(train) 1.3787 | Acc(train) 0.5860 | Acc(val) 0.5535 |
Epoch 00051 | Loss(train) 1.3507 | Acc(train) 0.6155 | Acc(val) 0.5572 |*
Epoch 00052 | Loss(train) 1.3812 | Acc(train) 0.5675 | Acc(val) 0.5609 |*
Epoch 00053 | Loss(train) 1.3417 | Acc(train) 0.6155 | Acc(val) 0.5683 |*
Epoch 00054 | Loss(train) 1.3206 | Acc(train) 0.6248 | Acc(val) 0.5756 |*
Epoch 00055 | Loss(train) 1.3031 | Acc(train) 0.6266 | Acc(val) 0.5830 |*
Epoch 00056 | Loss(train) 1.3116 | Acc(train) 0.6174 | Acc(val) 0.6199 |*
Epoch 00057 | Loss(train) 1.3001 | Acc(train) 0.6396 | Acc(val) 0.6347 |*
Epoch 00058 | Loss(train) 1.2948 | Acc(train) 0.6044 | Acc(val) 0.6458 |*
Epoch 00059 | Loss(train) 1.2733 | Acc(train) 0.6470 | Acc(val) 0.6458 |
Epoch 00060 | Loss(train) 1.2514 | Acc(train) 0.6340 | Acc(val) 0.6494 |*
Epoch 00061 | Loss(train) 1.2635 | Acc(train) 0.6451 | Acc(val) 0.6605 |*
Epoch 00062 | Loss(train) 1.2395 | Acc(train) 0.6562 | Acc(val) 0.6605 |
Epoch 00063 | Loss(train) 1.2342 | Acc(train) 0.6728 | Acc(val) 0.6642 |*
Epoch 00064 | Loss(train) 1.2174 | Acc(train) 0.6562 | Acc(val) 0.6679 |*
Epoch 00065 | Loss(train) 1.1890 | Acc(train) 0.6784 | Acc(val) 0.6753 |*
Epoch 00066 | Loss(train) 1.1895 | Acc(train) 0.6691 | Acc(val) 0.6937 |*
Epoch 00067 | Loss(train) 1.1591 | Acc(train) 0.6987 | Acc(val) 0.6974 |*
Epoch 00068 | Loss(train) 1.1759 | Acc(train) 0.6876 | Acc(val) 0.7048 |*
Epoch 00069 | Loss(train) 1.1673 | Acc(train) 0.6913 | Acc(val) 0.7122 |*
Epoch 00070 | Loss(train) 1.1489 | Acc(train) 0.7006 | Acc(val) 0.7196 |*
Epoch 00071 | Loss(train) 1.1131 | Acc(train) 0.7116 | Acc(val) 0.7122 |
Epoch 00072 | Loss(train) 1.1532 | Acc(train) 0.6858 | Acc(val) 0.7122 |
Epoch 00073 | Loss(train) 1.1154 | Acc(train) 0.6895 | Acc(val) 0.7085 |
Epoch 00074 | Loss(train) 1.1399 | Acc(train) 0.6802 | Acc(val) 0.7085 |
Epoch 00075 | Loss(train) 1.0942 | Acc(train) 0.7006 | Acc(val) 0.7085 |
Epoch 00076 | Loss(train) 1.1109 | Acc(train) 0.7043 | Acc(val) 0.7196 |
Epoch 00077 | Loss(train) 1.0812 | Acc(train) 0.7098 | Acc(val) 0.7232 |*
Epoch 00078 | Loss(train) 1.0947 | Acc(train) 0.6858 | Acc(val) 0.7417 |*
Epoch 00079 | Loss(train) 1.0713 | Acc(train) 0.6932 | Acc(val) 0.7454 |*
Epoch 00080 | Loss(train) 1.0664 | Acc(train) 0.7079 | Acc(val) 0.7454 |
Epoch 00081 | Loss(train) 1.0507 | Acc(train) 0.7357 | Acc(val) 0.7454 |
Epoch 00082 | Loss(train) 1.0664 | Acc(train) 0.7079 | Acc(val) 0.7454 |
Epoch 00083 | Loss(train) 1.0446 | Acc(train) 0.7190 | Acc(val) 0.7454 |
Epoch 00084 | Loss(train) 1.0367 | Acc(train) 0.7246 | Acc(val) 0.7343 |
Epoch 00085 | Loss(train) 1.0203 | Acc(train) 0.7190 | Acc(val) 0.7380 |
Epoch 00086 | Loss(train) 1.0353 | Acc(train) 0.7153 | Acc(val) 0.7417 |
Epoch 00087 | Loss(train) 1.0116 | Acc(train) 0.7209 | Acc(val) 0.7454 |
Epoch 00088 | Loss(train) 1.0017 | Acc(train) 0.7264 | Acc(val) 0.7491 |*
Epoch 00089 | Loss(train) 1.0086 | Acc(train) 0.7264 | Acc(val) 0.7528 |*
Epoch 00090 | Loss(train) 1.0092 | Acc(train) 0.7523 | Acc(val) 0.7528 |
Epoch 00091 | Loss(train) 0.9863 | Acc(train) 0.7264 | Acc(val) 0.7491 |
Epoch 00092 | Loss(train) 0.9979 | Acc(train) 0.7320 | Acc(val) 0.7454 |
Epoch 00093 | Loss(train) 0.9459 | Acc(train) 0.7412 | Acc(val) 0.7454 |
Epoch 00094 | Loss(train) 0.9663 | Acc(train) 0.7135 | Acc(val) 0.7454 |
Epoch 00095 | Loss(train) 0.9467 | Acc(train) 0.7486 | Acc(val) 0.7454 |
Epoch 00096 | Loss(train) 0.9500 | Acc(train) 0.7579 | Acc(val) 0.7491 |
Epoch 00097 | Loss(train) 0.9386 | Acc(train) 0.7412 | Acc(val) 0.7491 |
Epoch 00098 | Loss(train) 0.9430 | Acc(train) 0.7412 | Acc(val) 0.7454 |
Epoch 00099 | Loss(train) 0.9359 | Acc(train) 0.7301 | Acc(val) 0.7454 |
Epoch 00100 | Loss(train) 0.9176 | Acc(train) 0.7505 | Acc(val) 0.7491 |
Epoch 00101 | Loss(train) 0.9302 | Acc(train) 0.7320 | Acc(val) 0.7528 |
Epoch 00102 | Loss(train) 0.9222 | Acc(train) 0.7301 | Acc(val) 0.7528 |
Epoch 00103 | Loss(train) 0.9281 | Acc(train) 0.7394 | Acc(val) 0.7565 |*
Epoch 00104 | Loss(train) 0.9266 | Acc(train) 0.7579 | Acc(val) 0.7565 |
Epoch 00105 | Loss(train) 0.8841 | Acc(train) 0.7874 | Acc(val) 0.7565 |
Epoch 00106 | Loss(train) 0.8838 | Acc(train) 0.7634 | Acc(val) 0.7601 |*
Epoch 00107 | Loss(train) 0.8846 | Acc(train) 0.7560 | Acc(val) 0.7565 |/root/WATS/model/calibrator.py:194: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),

Epoch 00108 | Loss(train) 0.8695 | Acc(train) 0.7745 | Acc(val) 0.7565 |
Epoch 00109 | Loss(train) 0.8782 | Acc(train) 0.7505 | Acc(val) 0.7601 |
Epoch 00110 | Loss(train) 0.8841 | Acc(train) 0.7505 | Acc(val) 0.7638 |*
Epoch 00111 | Loss(train) 0.8800 | Acc(train) 0.7486 | Acc(val) 0.7638 |
Epoch 00112 | Loss(train) 0.8815 | Acc(train) 0.7708 | Acc(val) 0.7675 |*
Epoch 00113 | Loss(train) 0.8387 | Acc(train) 0.7911 | Acc(val) 0.7749 |*
Epoch 00114 | Loss(train) 0.8555 | Acc(train) 0.7800 | Acc(val) 0.7712 |
Epoch 00115 | Loss(train) 0.8435 | Acc(train) 0.7837 | Acc(val) 0.7749 |
Epoch 00116 | Loss(train) 0.8464 | Acc(train) 0.7837 | Acc(val) 0.7749 |
Epoch 00117 | Loss(train) 0.8572 | Acc(train) 0.7726 | Acc(val) 0.7749 |
Epoch 00118 | Loss(train) 0.8440 | Acc(train) 0.7782 | Acc(val) 0.7749 |
Epoch 00119 | Loss(train) 0.8440 | Acc(train) 0.7948 | Acc(val) 0.7749 |
Epoch 00120 | Loss(train) 0.8441 | Acc(train) 0.7837 | Acc(val) 0.7786 |*
Epoch 00121 | Loss(train) 0.8177 | Acc(train) 0.7837 | Acc(val) 0.7786 |
Epoch 00122 | Loss(train) 0.8184 | Acc(train) 0.7967 | Acc(val) 0.7823 |*
Epoch 00123 | Loss(train) 0.8348 | Acc(train) 0.7819 | Acc(val) 0.7897 |*
Epoch 00124 | Loss(train) 0.7916 | Acc(train) 0.8041 | Acc(val) 0.7897 |
Epoch 00125 | Loss(train) 0.7954 | Acc(train) 0.8059 | Acc(val) 0.7934 |*
Epoch 00126 | Loss(train) 0.8102 | Acc(train) 0.8299 | Acc(val) 0.7970 |*
Epoch 00127 | Loss(train) 0.7878 | Acc(train) 0.8226 | Acc(val) 0.8044 |*
Epoch 00128 | Loss(train) 0.7914 | Acc(train) 0.8022 | Acc(val) 0.8044 |
Epoch 00129 | Loss(train) 0.8055 | Acc(train) 0.7837 | Acc(val) 0.8044 |
Epoch 00130 | Loss(train) 0.7859 | Acc(train) 0.7985 | Acc(val) 0.8081 |*
Epoch 00131 | Loss(train) 0.8115 | Acc(train) 0.7874 | Acc(val) 0.8081 |
Epoch 00132 | Loss(train) 0.7952 | Acc(train) 0.7911 | Acc(val) 0.8081 |
Epoch 00133 | Loss(train) 0.7619 | Acc(train) 0.8244 | Acc(val) 0.8081 |
Epoch 00134 | Loss(train) 0.7554 | Acc(train) 0.8281 | Acc(val) 0.8081 |
Epoch 00135 | Loss(train) 0.7711 | Acc(train) 0.8022 | Acc(val) 0.8118 |*
Epoch 00136 | Loss(train) 0.7968 | Acc(train) 0.8004 | Acc(val) 0.8155 |*
Epoch 00137 | Loss(train) 0.7704 | Acc(train) 0.8170 | Acc(val) 0.8155 |
Epoch 00138 | Loss(train) 0.7805 | Acc(train) 0.8336 | Acc(val) 0.8192 |*
Epoch 00139 | Loss(train) 0.7311 | Acc(train) 0.8373 | Acc(val) 0.8192 |
Epoch 00140 | Loss(train) 0.7523 | Acc(train) 0.8170 | Acc(val) 0.8192 |
Epoch 00141 | Loss(train) 0.7656 | Acc(train) 0.8244 | Acc(val) 0.8192 |
Epoch 00142 | Loss(train) 0.7574 | Acc(train) 0.8207 | Acc(val) 0.8192 |
Epoch 00143 | Loss(train) 0.7527 | Acc(train) 0.8133 | Acc(val) 0.8192 |
Epoch 00144 | Loss(train) 0.7412 | Acc(train) 0.8336 | Acc(val) 0.8192 |
Epoch 00145 | Loss(train) 0.7509 | Acc(train) 0.8355 | Acc(val) 0.8229 |*
Epoch 00146 | Loss(train) 0.7291 | Acc(train) 0.8189 | Acc(val) 0.8303 |*
Epoch 00147 | Loss(train) 0.7650 | Acc(train) 0.8096 | Acc(val) 0.8303 |
Epoch 00148 | Loss(train) 0.7397 | Acc(train) 0.8207 | Acc(val) 0.8413 |*
Epoch 00149 | Loss(train) 0.7027 | Acc(train) 0.8540 | Acc(val) 0.8339 |
Epoch 00150 | Loss(train) 0.7190 | Acc(train) 0.8410 | Acc(val) 0.8376 |
Epoch 00151 | Loss(train) 0.7290 | Acc(train) 0.8466 | Acc(val) 0.8339 |
Epoch 00152 | Loss(train) 0.7277 | Acc(train) 0.8244 | Acc(val) 0.8303 |
Epoch 00153 | Loss(train) 0.6959 | Acc(train) 0.8503 | Acc(val) 0.8339 |
Epoch 00154 | Loss(train) 0.7214 | Acc(train) 0.8336 | Acc(val) 0.8339 |
Epoch 00155 | Loss(train) 0.7010 | Acc(train) 0.8484 | Acc(val) 0.8376 |
Epoch 00156 | Loss(train) 0.7249 | Acc(train) 0.8133 | Acc(val) 0.8413 |
Epoch 00157 | Loss(train) 0.6678 | Acc(train) 0.8706 | Acc(val) 0.8413 |
Epoch 00158 | Loss(train) 0.6877 | Acc(train) 0.8614 | Acc(val) 0.8413 |
Epoch 00159 | Loss(train) 0.6839 | Acc(train) 0.8725 | Acc(val) 0.8450 |*
Epoch 00160 | Loss(train) 0.6991 | Acc(train) 0.8373 | Acc(val) 0.8487 |*
Epoch 00161 | Loss(train) 0.6894 | Acc(train) 0.8262 | Acc(val) 0.8487 |
Epoch 00162 | Loss(train) 0.7116 | Acc(train) 0.8410 | Acc(val) 0.8487 |
Epoch 00163 | Loss(train) 0.6749 | Acc(train) 0.8429 | Acc(val) 0.8487 |
Epoch 00164 | Loss(train) 0.6859 | Acc(train) 0.8447 | Acc(val) 0.8487 |
Epoch 00165 | Loss(train) 0.6799 | Acc(train) 0.8429 | Acc(val) 0.8450 |
Epoch 00166 | Loss(train) 0.6832 | Acc(train) 0.8540 | Acc(val) 0.8524 |*
Epoch 00167 | Loss(train) 0.6756 | Acc(train) 0.8410 | Acc(val) 0.8524 |
Epoch 00168 | Loss(train) 0.6746 | Acc(train) 0.8447 | Acc(val) 0.8524 |
Epoch 00169 | Loss(train) 0.6633 | Acc(train) 0.8632 | Acc(val) 0.8524 |
Epoch 00170 | Loss(train) 0.6760 | Acc(train) 0.8410 | Acc(val) 0.8524 |
Epoch 00171 | Loss(train) 0.6448 | Acc(train) 0.8632 | Acc(val) 0.8524 |
Epoch 00172 | Loss(train) 0.6575 | Acc(train) 0.8688 | Acc(val) 0.8524 |
Epoch 00173 | Loss(train) 0.6604 | Acc(train) 0.8540 | Acc(val) 0.8450 |
Epoch 00174 | Loss(train) 0.6825 | Acc(train) 0.8410 | Acc(val) 0.8487 |
Epoch 00175 | Loss(train) 0.6337 | Acc(train) 0.8558 | Acc(val) 0.8524 |
Epoch 00176 | Loss(train) 0.6512 | Acc(train) 0.8447 | Acc(val) 0.8635 |*
Epoch 00177 | Loss(train) 0.6477 | Acc(train) 0.8540 | Acc(val) 0.8635 |
Epoch 00178 | Loss(train) 0.6785 | Acc(train) 0.8521 | Acc(val) 0.8635 |
Epoch 00179 | Loss(train) 0.6738 | Acc(train) 0.8484 | Acc(val) 0.8672 |*
Epoch 00180 | Loss(train) 0.6477 | Acc(train) 0.8447 | Acc(val) 0.8672 |
Epoch 00181 | Loss(train) 0.6227 | Acc(train) 0.8632 | Acc(val) 0.8635 |
Epoch 00182 | Loss(train) 0.6494 | Acc(train) 0.8392 | Acc(val) 0.8598 |
Epoch 00183 | Loss(train) 0.6500 | Acc(train) 0.8429 | Acc(val) 0.8672 |
Epoch 00184 | Loss(train) 0.6390 | Acc(train) 0.8632 | Acc(val) 0.8672 |
Epoch 00185 | Loss(train) 0.6084 | Acc(train) 0.8762 | Acc(val) 0.8635 |
Epoch 00186 | Loss(train) 0.6446 | Acc(train) 0.8540 | Acc(val) 0.8672 |
Epoch 00187 | Loss(train) 0.6363 | Acc(train) 0.8521 | Acc(val) 0.8708 |*
Epoch 00188 | Loss(train) 0.6537 | Acc(train) 0.8410 | Acc(val) 0.8672 |
Epoch 00189 | Loss(train) 0.6302 | Acc(train) 0.8614 | Acc(val) 0.8635 |
Epoch 00190 | Loss(train) 0.6347 | Acc(train) 0.8540 | Acc(val) 0.8635 |
Epoch 00191 | Loss(train) 0.5950 | Acc(train) 0.8835 | Acc(val) 0.8635 |
Epoch 00192 | Loss(train) 0.6071 | Acc(train) 0.8743 | Acc(val) 0.8635 |
Epoch 00193 | Loss(train) 0.6162 | Acc(train) 0.8484 | Acc(val) 0.8672 |
Epoch 00194 | Loss(train) 0.6014 | Acc(train) 0.8799 | Acc(val) 0.8635 |
Epoch 00195 | Loss(train) 0.5991 | Acc(train) 0.8762 | Acc(val) 0.8672 |
Epoch 00196 | Loss(train) 0.5915 | Acc(train) 0.8743 | Acc(val) 0.8672 |
Epoch 00197 | Loss(train) 0.5804 | Acc(train) 0.8854 | Acc(val) 0.8672 |
Epoch 00198 | Loss(train) 0.5948 | Acc(train) 0.8854 | Acc(val) 0.8672 |
Epoch 00199 | Loss(train) 0.6129 | Acc(train) 0.8725 | Acc(val) 0.8635 |
Epoch 00200 | Loss(train) 0.6065 | Acc(train) 0.8651 | Acc(val) 0.8672 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.95, 'cal_hidden_dim': 8}, gnn={'type': 'gcn', 'num_layer': 2, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 1433, 'out_dim': 7}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 79.57 MB
GPU Memory Reserved: 100.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.9449 | Acc(train) 0.1608 | Acc(val) 0.2989 |*
Epoch 00002 | Loss(train) 1.9302 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00003 | Loss(train) 1.9117 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00004 | Loss(train) 1.8946 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00005 | Loss(train) 1.8800 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00006 | Loss(train) 1.8621 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00007 | Loss(train) 1.8445 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00008 | Loss(train) 1.8324 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00009 | Loss(train) 1.8201 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00010 | Loss(train) 1.8080 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00011 | Loss(train) 1.7932 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00012 | Loss(train) 1.7902 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00013 | Loss(train) 1.7759 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00014 | Loss(train) 1.7739 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00015 | Loss(train) 1.7594 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00016 | Loss(train) 1.7497 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00017 | Loss(train) 1.7427 | Acc(train) 0.2828 | Acc(val) 0.2989 |
Epoch 00018 | Loss(train) 1.7346 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00019 | Loss(train) 1.7183 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00020 | Loss(train) 1.6987 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00021 | Loss(train) 1.6970 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00022 | Loss(train) 1.7006 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00023 | Loss(train) 1.6710 | Acc(train) 0.2902 | Acc(val) 0.2989 |
Epoch 00024 | Loss(train) 1.6644 | Acc(train) 0.2884 | Acc(val) 0.3026 |*
Epoch 00025 | Loss(train) 1.6463 | Acc(train) 0.2994 | Acc(val) 0.3100 |*
Epoch 00026 | Loss(train) 1.6446 | Acc(train) 0.3031 | Acc(val) 0.3173 |*
Epoch 00027 | Loss(train) 1.6253 | Acc(train) 0.3179 | Acc(val) 0.3173 |
Epoch 00028 | Loss(train) 1.6152 | Acc(train) 0.3420 | Acc(val) 0.3284 |*
Epoch 00029 | Loss(train) 1.6057 | Acc(train) 0.3623 | Acc(val) 0.3321 |*
Epoch 00030 | Loss(train) 1.5892 | Acc(train) 0.3789 | Acc(val) 0.3469 |*
Epoch 00031 | Loss(train) 1.5805 | Acc(train) 0.4085 | Acc(val) 0.3469 |
Epoch 00032 | Loss(train) 1.5635 | Acc(train) 0.4104 | Acc(val) 0.3469 |
Epoch 00033 | Loss(train) 1.5582 | Acc(train) 0.3900 | Acc(val) 0.3506 |*
Epoch 00034 | Loss(train) 1.5445 | Acc(train) 0.4067 | Acc(val) 0.3506 |
Epoch 00035 | Loss(train) 1.5420 | Acc(train) 0.3789 | Acc(val) 0.3506 |
Epoch 00036 | Loss(train) 1.5070 | Acc(train) 0.4140 | Acc(val) 0.3653 |*
Epoch 00037 | Loss(train) 1.5014 | Acc(train) 0.4214 | Acc(val) 0.3727 |*
Epoch 00038 | Loss(train) 1.4945 | Acc(train) 0.4196 | Acc(val) 0.3727 |
Epoch 00039 | Loss(train) 1.4827 | Acc(train) 0.4455 | Acc(val) 0.3985 |*
Epoch 00040 | Loss(train) 1.4638 | Acc(train) 0.4529 | Acc(val) 0.4244 |*
Epoch 00041 | Loss(train) 1.4459 | Acc(train) 0.4732 | Acc(val) 0.4502 |*
Epoch 00042 | Loss(train) 1.4353 | Acc(train) 0.4954 | Acc(val) 0.4797 |*
Epoch 00043 | Loss(train) 1.4263 | Acc(train) 0.5231 | Acc(val) 0.5018 |*
Epoch 00044 | Loss(train) 1.4184 | Acc(train) 0.5360 | Acc(val) 0.5203 |*
Epoch 00045 | Loss(train) 1.3976 | Acc(train) 0.5638 | Acc(val) 0.5314 |*
Epoch 00046 | Loss(train) 1.3867 | Acc(train) 0.5804 | Acc(val) 0.5572 |*
Epoch 00047 | Loss(train) 1.3645 | Acc(train) 0.5989 | Acc(val) 0.5720 |*
Epoch 00048 | Loss(train) 1.3599 | Acc(train) 0.5878 | Acc(val) 0.5756 |*
Epoch 00049 | Loss(train) 1.3580 | Acc(train) 0.5860 | Acc(val) 0.5830 |*
Epoch 00050 | Loss(train) 1.3399 | Acc(train) 0.6007 | Acc(val) 0.5830 |
Epoch 00051 | Loss(train) 1.3184 | Acc(train) 0.6211 | Acc(val) 0.5941 |*
Epoch 00052 | Loss(train) 1.3215 | Acc(train) 0.6137 | Acc(val) 0.6015 |*
Epoch 00053 | Loss(train) 1.2968 | Acc(train) 0.6211 | Acc(val) 0.6162 |*
Epoch 00054 | Loss(train) 1.2884 | Acc(train) 0.6377 | Acc(val) 0.6162 |
Epoch 00055 | Loss(train) 1.2838 | Acc(train) 0.6248 | Acc(val) 0.6310 |*
Epoch 00056 | Loss(train) 1.2601 | Acc(train) 0.6543 | Acc(val) 0.6568 |*
Epoch 00057 | Loss(train) 1.2537 | Acc(train) 0.6580 | Acc(val) 0.6679 |*
Epoch 00058 | Loss(train) 1.2319 | Acc(train) 0.6747 | Acc(val) 0.6790 |*
Epoch 00059 | Loss(train) 1.2379 | Acc(train) 0.6710 | Acc(val) 0.6900 |*
Epoch 00060 | Loss(train) 1.2113 | Acc(train) 0.6932 | Acc(val) 0.6937 |*
Epoch 00061 | Loss(train) 1.1939 | Acc(train) 0.6839 | Acc(val) 0.7048 |*
Epoch 00062 | Loss(train) 1.1798 | Acc(train) 0.6895 | Acc(val) 0.7085 |*
Epoch 00063 | Loss(train) 1.1741 | Acc(train) 0.6932 | Acc(val) 0.7085 |
Epoch 00064 | Loss(train) 1.1688 | Acc(train) 0.6876 | Acc(val) 0.7085 |
Epoch 00065 | Loss(train) 1.1570 | Acc(train) 0.6987 | Acc(val) 0.7085 |
Epoch 00066 | Loss(train) 1.1430 | Acc(train) 0.6858 | Acc(val) 0.7085 |
Epoch 00067 | Loss(train) 1.1265 | Acc(train) 0.7061 | Acc(val) 0.7122 |*
