/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
/root/WATS/model/calibrator.py:322: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),
Debug: Dataset cora-full train_idx: 2820, val_idx: 940, test_idx: 15040
Debug: Dataset cora-full train_idx: 10, val_idx: 10, test_idx: 10
Dataset: cora-full | #Nodes: 18800 | #Edges: 144170 | #Classes: 70 |#Features: 8710
Epoch 00017 | Loss(train) 3.9902 | Acc(train) 0.0557 | Acc(val) 0.0723 |
Epoch 00018 | Loss(train) 3.9966 | Acc(train) 0.0628 | Acc(val) 0.0777 |
Epoch 00019 | Loss(train) 3.9950 | Acc(train) 0.0684 | Acc(val) 0.0798 |
Epoch 00020 | Loss(train) 3.9904 | Acc(train) 0.0645 | Acc(val) 0.0798 |
Epoch 00021 | Loss(train) 3.9732 | Acc(train) 0.0667 | Acc(val) 0.0798 |
Epoch 00022 | Loss(train) 3.9654 | Acc(train) 0.0649 | Acc(val) 0.0798 |
Epoch 00023 | Loss(train) 3.9645 | Acc(train) 0.0638 | Acc(val) 0.0798 |
Epoch 00024 | Loss(train) 3.9588 | Acc(train) 0.0624 | Acc(val) 0.0798 |
Epoch 00025 | Loss(train) 3.9649 | Acc(train) 0.0652 | Acc(val) 0.0798 |
Epoch 00026 | Loss(train) 3.9515 | Acc(train) 0.0660 | Acc(val) 0.0798 |
Epoch 00027 | Loss(train) 3.9361 | Acc(train) 0.0691 | Acc(val) 0.0798 |
Epoch 00028 | Loss(train) 3.9429 | Acc(train) 0.0663 | Acc(val) 0.0798 |
Epoch 00029 | Loss(train) 3.9424 | Acc(train) 0.0720 | Acc(val) 0.0798 |
Epoch 00030 | Loss(train) 3.9236 | Acc(train) 0.0684 | Acc(val) 0.0798 |
Epoch 00031 | Loss(train) 3.9226 | Acc(train) 0.0741 | Acc(val) 0.0798 |
Epoch 00032 | Loss(train) 3.9123 | Acc(train) 0.0741 | Acc(val) 0.0798 |
Epoch 00033 | Loss(train) 3.8928 | Acc(train) 0.0762 | Acc(val) 0.0798 |
Epoch 00034 | Loss(train) 3.8958 | Acc(train) 0.0766 | Acc(val) 0.0798 |
Epoch 00035 | Loss(train) 3.8899 | Acc(train) 0.0766 | Acc(val) 0.0798 |
Epoch 00036 | Loss(train) 3.9116 | Acc(train) 0.0720 | Acc(val) 0.0798 |
Epoch 00037 | Loss(train) 3.8670 | Acc(train) 0.0816 | Acc(val) 0.0798 |
Epoch 00038 | Loss(train) 3.8672 | Acc(train) 0.0826 | Acc(val) 0.0798 |
Epoch 00039 | Loss(train) 3.8504 | Acc(train) 0.0826 | Acc(val) 0.0798 |
Epoch 00040 | Loss(train) 3.8565 | Acc(train) 0.0872 | Acc(val) 0.0798 |
Epoch 00041 | Loss(train) 3.8299 | Acc(train) 0.0855 | Acc(val) 0.0798 |
Epoch 00042 | Loss(train) 3.8353 | Acc(train) 0.0908 | Acc(val) 0.0798 |
Epoch 00043 | Loss(train) 3.8163 | Acc(train) 0.0887 | Acc(val) 0.0798 |
Epoch 00044 | Loss(train) 3.8001 | Acc(train) 0.0840 | Acc(val) 0.0798 |
Epoch 00045 | Loss(train) 3.8120 | Acc(train) 0.0830 | Acc(val) 0.0798 |
Epoch 00046 | Loss(train) 3.7918 | Acc(train) 0.0897 | Acc(val) 0.0798 |
Epoch 00047 | Loss(train) 3.7874 | Acc(train) 0.0904 | Acc(val) 0.0798 |
Epoch 00048 | Loss(train) 3.7560 | Acc(train) 0.0879 | Acc(val) 0.0798 |
Epoch 00049 | Loss(train) 3.7568 | Acc(train) 0.0922 | Acc(val) 0.0798 |
Epoch 00050 | Loss(train) 3.7301 | Acc(train) 0.0897 | Acc(val) 0.0798 |
Epoch 00051 | Loss(train) 3.7569 | Acc(train) 0.0894 | Acc(val) 0.0798 |
Epoch 00052 | Loss(train) 3.7136 | Acc(train) 0.0933 | Acc(val) 0.0809 |
Epoch 00053 | Loss(train) 3.7453 | Acc(train) 0.1004 | Acc(val) 0.0830 |
Epoch 00054 | Loss(train) 3.7066 | Acc(train) 0.0897 | Acc(val) 0.0830 |
Epoch 00055 | Loss(train) 3.7049 | Acc(train) 0.0957 | Acc(val) 0.0840 |
Epoch 00056 | Loss(train) 3.6912 | Acc(train) 0.0869 | Acc(val) 0.0840 |
Epoch 00057 | Loss(train) 3.6929 | Acc(train) 0.0965 | Acc(val) 0.0830 |
Epoch 00058 | Loss(train) 3.6940 | Acc(train) 0.0929 | Acc(val) 0.0830 |
Early stopping at epoch 58
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.2, 'cal_hidden_dim': 128}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 8710, 'out_dim': 70}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 707.40 MB
GPU Memory Reserved: 2154.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 4.2386 | Acc(train) 0.0160 | Acc(val) 0.0447 |*
Epoch 00002 | Loss(train) 4.2278 | Acc(train) 0.0465 | Acc(val) 0.0447 |
Epoch 00003 | Loss(train) 4.2124 | Acc(train) 0.0447 | Acc(val) 0.0447 |
Epoch 00004 | Loss(train) 4.1944 | Acc(train) 0.0496 | Acc(val) 0.0447 |
Epoch 00005 | Loss(train) 4.1749 | Acc(train) 0.0447 | Acc(val) 0.0447 |
Epoch 00006 | Loss(train) 4.1550 | Acc(train) 0.0564 | Acc(val) 0.0447 |
Epoch 00007 | Loss(train) 4.1208 | Acc(train) 0.0521 | Acc(val) 0.0447 |
Epoch 00008 | Loss(train) 4.0988 | Acc(train) 0.0443 | Acc(val) 0.0447 |
Epoch 00009 | Loss(train) 4.1021 | Acc(train) 0.0500 | Acc(val) 0.0447 |
Epoch 00010 | Loss(train) 4.0470 | Acc(train) 0.0507 | Acc(val) 0.0447 |
Epoch 00011 | Loss(train) 4.0553 | Acc(train) 0.0557 | Acc(val) 0.0447 |
Epoch 00012 | Loss(train) 4.0881 | Acc(train) 0.0521 | Acc(val) 0.0447 |
Epoch 00013 | Loss(train) 4.0351 | Acc(train) 0.0511 | Acc(val) 0.0447 |
Epoch 00014 | Loss(train) 4.0211 | Acc(train) 0.0535 | Acc(val) 0.0447 |
Epoch 00015 | Loss(train) 4.0116 | Acc(train) 0.0557 | Acc(val) 0.0447 |
Epoch 00016 | Loss(train) 3.9941 | Acc(train) 0.0621 | Acc(val) 0.0500 |*
Epoch 00017 | Loss(train) 3.9921 | Acc(train) 0.0592 | Acc(val) 0.0606 |*
Epoch 00018 | Loss(train) 3.9831 | Acc(train) 0.0610 | Acc(val) 0.0691 |*
Epoch 00019 | Loss(train) 3.9685 | Acc(train) 0.0613 | Acc(val) 0.0755 |*
Epoch 00020 | Loss(train) 3.9719 | Acc(train) 0.0628 | Acc(val) 0.0777 |*
Epoch 00021 | Loss(train) 3.9714 | Acc(train) 0.0585 | Acc(val) 0.0787 |*
Epoch 00022 | Loss(train) 3.9581 | Acc(train) 0.0585 | Acc(val) 0.0787 |
Epoch 00023 | Loss(train) 3.9586 | Acc(train) 0.0667 | Acc(val) 0.0787 |
Epoch 00024 | Loss(train) 3.9531 | Acc(train) 0.0606 | Acc(val) 0.0798 |*
Epoch 00025 | Loss(train) 3.9466 | Acc(train) 0.0649 | Acc(val) 0.0798 |
Epoch 00026 | Loss(train) 3.9431 | Acc(train) 0.0670 | Acc(val) 0.0798 |
Epoch 00027 | Loss(train) 3.9403 | Acc(train) 0.0656 | Acc(val) 0.0798 |
Epoch 00028 | Loss(train) 3.9299 | Acc(train) 0.0699 | Acc(val) 0.0798 |
Epoch 00029 | Loss(train) 3.9268 | Acc(train) 0.0706 | Acc(val) 0.0798 |
Epoch 00030 | Loss(train) 3.9153 | Acc(train) 0.0677 | Acc(val) 0.0798 |
Epoch 00031 | Loss(train) 3.9056 | Acc(train) 0.0738 | Acc(val) 0.0798 |
Epoch 00032 | Loss(train) 3.8903 | Acc(train) 0.0745 | Acc(val) 0.0798 |
Epoch 00033 | Loss(train) 3.9044 | Acc(train) 0.0720 | Acc(val) 0.0798 |
Epoch 00034 | Loss(train) 3.9008 | Acc(train) 0.0770 | Acc(val) 0.0798 |
Epoch 00035 | Loss(train) 3.8809 | Acc(train) 0.0734 | Acc(val) 0.0798 |
Epoch 00036 | Loss(train) 3.8893 | Acc(train) 0.0755 | Acc(val) 0.0798 |
Epoch 00037 | Loss(train) 4.0775 | Acc(train) 0.0848 | Acc(val) 0.0798 |
Epoch 00038 | Loss(train) 3.8572 | Acc(train) 0.0816 | Acc(val) 0.0798 |
Epoch 00039 | Loss(train) 3.8550 | Acc(train) 0.0823 | Acc(val) 0.0798 |
Epoch 00040 | Loss(train) 3.8558 | Acc(train) 0.0876 | Acc(val) 0.0798 |
Epoch 00041 | Loss(train) 3.8232 | Acc(train) 0.0887 | Acc(val) 0.0798 |
Epoch 00042 | Loss(train) 3.8344 | Acc(train) 0.0798 | Acc(val) 0.0798 |
Epoch 00043 | Loss(train) 3.7967 | Acc(train) 0.0869 | Acc(val) 0.0798 |
Epoch 00044 | Loss(train) 3.8011 | Acc(train) 0.0851 | Acc(val) 0.0798 |
Epoch 00045 | Loss(train) 3.7707 | Acc(train) 0.0858 | Acc(val) 0.0798 |
Epoch 00046 | Loss(train) 3.7699 | Acc(train) 0.0858 | Acc(val) 0.0798 |
Epoch 00047 | Loss(train) 3.7625 | Acc(train) 0.0940 | Acc(val) 0.0809 |*
Epoch 00048 | Loss(train) 3.7723 | Acc(train) 0.0872 | Acc(val) 0.0809 |
Epoch 00049 | Loss(train) 3.8112 | Acc(train) 0.0869 | Acc(val) 0.0809 |
Epoch 00050 | Loss(train) 3.7194 | Acc(train) 0.0887 | Acc(val) 0.0809 |
Epoch 00051 | Loss(train) 3.6902 | Acc(train) 0.0922 | Acc(val) 0.0809 |
Epoch 00052 | Loss(train) 3.7080 | Acc(train) 0.0968 | Acc(val) 0.0809 |
Epoch 00053 | Loss(train) 3.6964 | Acc(train) 0.0957 | Acc(val) 0.0809 |
Epoch 00054 | Loss(train) 3.7014 | Acc(train) 0.0922 | Acc(val) 0.0809 |
Epoch 00055 | Loss(train) 3.6727 | Acc(train) 0.0965 | Acc(val) 0.0830 |*
Epoch 00056 | Loss(train) 3.6680 | Acc(train) 0.1011 | Acc(val) 0.0904 |*
Epoch 00057 | Loss(train) 3.6637 | Acc(train) 0.0883 | Acc(val) 0.0904 |
Epoch 00058 | Loss(train) 3.6716 | Acc(train) 0.0887 | Acc(val) 0.0904 |
Epoch 00059 | Loss(train) 3.6776 | Acc(train) 0.0954 | Acc(val) 0.0915 |*
Epoch 00060 | Loss(train) 3.6763 | Acc(train) 0.0911 | Acc(val) 0.0926 |*
Epoch 00061 | Loss(train) 3.6191 | Acc(train) 0.0982 | Acc(val) 0.0936 |*
Epoch 00062 | Loss(train) 3.6248 | Acc(train) 0.1043 | Acc(val) 0.0947 |*
Epoch 00063 | Loss(train) 3.6379 | Acc(train) 0.0922 | Acc(val) 0.0947 |
Epoch 00064 | Loss(train) 3.6196 | Acc(train) 0.1028 | Acc(val) 0.1011 |*
Epoch 00065 | Loss(train) 3.6374 | Acc(train) 0.0940 | Acc(val) 0.1032 |*
Epoch 00066 | Loss(train) 3.6381 | Acc(train) 0.1004 | Acc(val) 0.1053 |*
Epoch 00067 | Loss(train) 3.6490 | Acc(train) 0.0968 | Acc(val) 0.1085 |*
Epoch 00068 | Loss(train) 3.6405 | Acc(train) 0.0968 | Acc(val) 0.1117 |*
Epoch 00069 | Loss(train) 3.6168 | Acc(train) 0.0954 | Acc(val) 0.1170 |*
Epoch 00070 | Loss(train) 3.6381 | Acc(train) 0.1007 | Acc(val) 0.1181 |*
Epoch 00071 | Loss(train) 3.6317 | Acc(train) 0.1046 | Acc(val) 0.1191 |*
Epoch 00072 | Loss(train) 3.6881 | Acc(train) 0.1039 | Acc(val) 0.1170 |
Epoch 00073 | Loss(train) 3.6293 | Acc(train) 0.1064 | Acc(val) 0.1128 |
Epoch 00074 | Loss(train) 3.5925 | Acc(train) 0.1011 | Acc(val) 0.1074 |
Epoch 00075 | Loss(train) 3.6048 | Acc(train) 0.1089 | Acc(val) 0.1085 |
Epoch 00076 | Loss(train) 3.5793 | Acc(train) 0.1167 | Acc(val) 0.1053 |
Epoch 00077 | Loss(train) 3.5696 | Acc(train) 0.0975 | Acc(val) 0.1032 |
Epoch 00078 | Loss(train) 3.5820 | Acc(train) 0.1046 | Acc(val) 0.0989 |
Epoch 00079 | Loss(train) 3.5709 | Acc(train) 0.1021 | Acc(val) 0.0957 |
Epoch 00080 | Loss(train) 3.5797 | Acc(train) 0.1089 | Acc(val) 0.0968 |
Epoch 00081 | Loss(train) 3.5918 | Acc(train) 0.1085 | Acc(val) 0.0936 |
Epoch 00082 | Loss(train) 3.5588 | Acc(train) 0.1007 | Acc(val) 0.0957 |
Epoch 00083 | Loss(train) 3.5745 | Acc(train) 0.0965 | Acc(val) 0.0957 |
Epoch 00084 | Loss(train) 3.5485 | Acc(train) 0.0982 | Acc(val) 0.0989 |
Epoch 00085 | Loss(train) 3.5549 | Acc(train) 0.1060 | Acc(val) 0.1021 |
Epoch 00086 | Loss(train) 3.5833 | Acc(train) 0.1057 | Acc(val) 0.1032 |
Epoch 00087 | Loss(train) 3.5965 | Acc(train) 0.1046 | Acc(val) 0.1032 |
Epoch 00088 | Loss(train) 3.5441 | Acc(train) 0.1067 | Acc(val) 0.1032 |
Epoch 00089 | Loss(train) 3.5643 | Acc(train) 0.1121 | Acc(val) 0.1011 |
Epoch 00090 | Loss(train) 3.5492 | Acc(train) 0.1067 | Acc(val) 0.1043 |
Epoch 00091 | Loss(train) 3.5599 | Acc(train) 0.1035 | Acc(val) 0.1053 |
Epoch 00092 | Loss(train) 3.5444 | Acc(train) 0.1067 | Acc(val) 0.1074 |
Epoch 00093 | Loss(train) 3.5357 | Acc(train) 0.1032 | Acc(val) 0.1074 |
Epoch 00094 | Loss(train) 3.5265 | Acc(train) 0.1053 | Acc(val) 0.1085 |
Epoch 00095 | Loss(train) 3.5631 | Acc(train) 0.1128 | Acc(val) 0.1128 |
Epoch 00096 | Loss(train) 3.5465 | Acc(train) 0.1082 | Acc(val) 0.1181 |
Epoch 00097 | Loss(train) 3.5553 | Acc(train) 0.1149 | Acc(val) 0.1213 |*
Epoch 00098 | Loss(train) 3.5313 | Acc(train) 0.1096 | Acc(val) 0.1138 |
Epoch 00099 | Loss(train) 3.5303 | Acc(train) 0.1085 | Acc(val) 0.1096 |
Epoch 00100 | Loss(train) 3.5445 | Acc(train) 0.1113 | Acc(val) 0.1064 |
Epoch 00101 | Loss(train) 3.5332 | Acc(train) 0.1053 | Acc(val) 0.1064 |
Epoch 00102 | Loss(train) 3.5446 | Acc(train) 0.1067 | Acc(val) 0.1096 |
Epoch 00103 | Loss(train) 3.5204 | Acc(train) 0.1057 | Acc(val) 0.1191 |
Epoch 00104 | Loss(train) 3.5421 | Acc(train) 0.1110 | Acc(val) 0.1106 |
Epoch 00105 | Loss(train) 3.5447 | Acc(train) 0.1050 | Acc(val) 0.1106 |
Epoch 00106 | Loss(train) 3.5111 | Acc(train) 0.1138 | Acc(val) 0.1128 |
Epoch 00107 | Loss(train) 3.5675 | Acc(train) 0.1131 | Acc(val) 0.1181 |
Epoch 00108 | Loss(train) 3.5294 | Acc(train) 0.1085 | Acc(val) 0.1245 |*
Epoch 00109 | Loss(train) 3.5059 | Acc(train) 0.1145 | Acc(val) 0.1319 |*
Epoch 00110 | Loss(train) 3.5462 | Acc(train) 0.1067 | Acc(val) 0.1298 |
Epoch 00111 | Loss(train) 3.5437 | Acc(train) 0.1142 | Acc(val) 0.1362 |*
Epoch 00112 | Loss(train) 3.5181 | Acc(train) 0.1131 | Acc(val) 0.1415 |*
Epoch 00113 | Loss(train) 3.5103 | Acc(train) 0.1106 | Acc(val) 0.1447 |*
Epoch 00114 | Loss(train) 3.5221 | Acc(train) 0.1050 | Acc(val) 0.1383 |
Epoch 00115 | Loss(train) 3.5024 | Acc(train) 0.1152 | Acc(val) 0.1447 |
Epoch 00116 | Loss(train) 3.6038 | Acc(train) 0.1082 | Acc(val) 0.1489 |*
Epoch 00117 | Loss(train) 3.5522 | Acc(train) 0.1199 | Acc(val) 0.1585 |*
Epoch 00118 | Loss(train) 3.5307 | Acc(train) 0.1195 | Acc(val) 0.1628 |*
Epoch 00119 | Loss(train) 3.5178 | Acc(train) 0.1206 | Acc(val) 0.1649 |*
Epoch 00120 | Loss(train) 3.5287 | Acc(train) 0.1202 | Acc(val) 0.1638 |
Epoch 00121 | Loss(train) 3.5197 | Acc(train) 0.1160 | Acc(val) 0.1596 |
Epoch 00122 | Loss(train) 3.5336 | Acc(train) 0.1121 | Acc(val) 0.1543 |
Epoch 00123 | Loss(train) 3.5060 | Acc(train) 0.1191 | Acc(val) 0.1532 |
Epoch 00124 | Loss(train) 3.5043 | Acc(train) 0.1167 | Acc(val) 0.1532 |
Epoch 00125 | Loss(train) 3.5259 | Acc(train) 0.1195 | Acc(val) 0.1500 |
Epoch 00126 | Loss(train) 3.5148 | Acc(train) 0.1184 | Acc(val) 0.1511 |
Epoch 00127 | Loss(train) 3.5020 | Acc(train) 0.1181 | Acc(val) 0.1489 |
Epoch 00128 | Loss(train) 3.5879 | Acc(train) 0.1050 | Acc(val) 0.1574 |
Epoch 00129 | Loss(train) 3.6012 | Acc(train) 0.1128 | Acc(val) 0.1553 |
Epoch 00130 | Loss(train) 3.5103 | Acc(train) 0.1195 | Acc(val) 0.1479 |
Epoch 00131 | Loss(train) 3.5024 | Acc(train) 0.1113 | Acc(val) 0.1436 |
Epoch 00132 | Loss(train) 3.5092 | Acc(train) 0.1121 | Acc(val) 0.1340 |
Epoch 00133 | Loss(train) 3.5353 | Acc(train) 0.1156 | Acc(val) 0.1383 |
Epoch 00134 | Loss(train) 3.5137 | Acc(train) 0.1167 | Acc(val) 0.1351 |
Epoch 00135 | Loss(train) 3.5031 | Acc(train) 0.1287 | Acc(val) 0.1309 |
Epoch 00136 | Loss(train) 3.5439 | Acc(train) 0.1142 | Acc(val) 0.1330 |
Epoch 00137 | Loss(train) 3.5043 | Acc(train) 0.1092 | Acc(val) 0.1298 |
Epoch 00138 | Loss(train) 3.4873 | Acc(train) 0.1131 | Acc(val) 0.1372 |
Epoch 00139 | Loss(train) 3.5301 | Acc(train) 0.1202 | Acc(val) 0.1404 |
Epoch 00140 | Loss(train) 3.5039 | Acc(train) 0.1206 | Acc(val) 0.1383 |
Epoch 00141 | Loss(train) 3.5020 | Acc(train) 0.1167 | Acc(val) 0.1372 |
Epoch 00142 | Loss(train) 3.4890 | Acc(train) 0.1199 | Acc(val) 0.1351 |
Epoch 00143 | Loss(train) 3.5159 | Acc(train) 0.1184 | Acc(val) 0.1415 |
Epoch 00144 | Loss(train) 3.5168 | Acc(train) 0.1206 | Acc(val) 0.1574 |
Epoch 00145 | Loss(train) 3.5091 | Acc(train) 0.1170 | Acc(val) 0.1638 |
Epoch 00146 | Loss(train) 3.5179 | Acc(train) 0.1117 | Acc(val) 0.1596 |
Epoch 00147 | Loss(train) 3.5129 | Acc(train) 0.1227 | Acc(val) 0.1564 |
Epoch 00148 | Loss(train) 3.5734 | Acc(train) 0.1191 | Acc(val) 0.1447 |
Epoch 00149 | Loss(train) 3.5074 | Acc(train) 0.1177 | Acc(val) 0.1426 |
Epoch 00150 | Loss(train) 3.5140 | Acc(train) 0.1330 | Acc(val) 0.1394 |
Epoch 00151 | Loss(train) 3.4832 | Acc(train) 0.1156 | Acc(val) 0.1426 |
Epoch 00152 | Loss(train) 3.4927 | Acc(train) 0.1163 | Acc(val) 0.1383 |
Epoch 00153 | Loss(train) 3.5138 | Acc(train) 0.1163 | Acc(val) 0.1330 |
Epoch 00154 | Loss(train) 3.4778 | Acc(train) 0.1121 | Acc(val) 0.1319 |
Epoch 00155 | Loss(train) 3.4836 | Acc(train) 0.1160 | Acc(val) 0.1319 |
Epoch 00156 | Loss(train) 3.5007 | Acc(train) 0.1121 | Acc(val) 0.1340 |
Epoch 00157 | Loss(train) 3.5372 | Acc(train) 0.1156 | Acc(val) 0.1319 |
Epoch 00158 | Loss(train) 3.4696 | Acc(train) 0.1174 | Acc(val) 0.1309 |
Epoch 00159 | Loss(train) 3.4999 | Acc(train) 0.1230 | Acc(val) 0.1447 |
Epoch 00160 | Loss(train) 3.5102 | Acc(train) 0.1174 | Acc(val) 0.1543 |
Epoch 00161 | Loss(train) 3.4804 | Acc(train) 0.1223 | Acc(val) 0.1574 |
Epoch 00162 | Loss(train) 3.4916 | Acc(train) 0.1131 | Acc(val) 0.1628 |
Epoch 00163 | Loss(train) 3.4864 | Acc(train) 0.1206 | Acc(val) 0.1713 |*
Epoch 00164 | Loss(train) 3.4985 | Acc(train) 0.1323 | Acc(val) 0.1766 |*
Epoch 00165 | Loss(train) 3.4999 | Acc(train) 0.1213 | Acc(val) 0.1809 |*
Epoch 00166 | Loss(train) 3.4695 | Acc(train) 0.1255 | Acc(val) 0.1851 |*
Epoch 00167 | Loss(train) 3.4747 | Acc(train) 0.1206 | Acc(val) 0.1883 |*
Epoch 00168 | Loss(train) 3.4944 | Acc(train) 0.1213 | Acc(val) 0.1851 |
Epoch 00169 | Loss(train) 3.4902 | Acc(train) 0.1184 | Acc(val) 0.1840 |
Epoch 00170 | Loss(train) 3.4640 | Acc(train) 0.1280 | Acc(val) 0.1777 |
Epoch 00171 | Loss(train) 3.4881 | Acc(train) 0.1255 | Acc(val) 0.1745 |
Epoch 00172 | Loss(train) 3.4961 | Acc(train) 0.1138 | Acc(val) 0.1670 |
Epoch 00173 | Loss(train) 3.4860 | Acc(train) 0.1241 | Acc(val) 0.1638 |
Epoch 00174 | Loss(train) 3.4617 | Acc(train) 0.1121 | Acc(val) 0.1628 |
Epoch 00175 | Loss(train) 3.4955 | Acc(train) 0.1142 | Acc(val) 0.1532 |
Epoch 00176 | Loss(train) 3.4830 | Acc(train) 0.1238 | Acc(val) 0.1468 |
Epoch 00177 | Loss(train) 3.4561 | Acc(train) 0.1255 | Acc(val) 0.1415 |
Epoch 00178 | Loss(train) 3.4862 | Acc(train) 0.1216 | Acc(val) 0.1383 |
Epoch 00179 | Loss(train) 3.4793 | Acc(train) 0.1152 | Acc(val) 0.1372 |
Epoch 00180 | Loss(train) 3.4955 | Acc(train) 0.1230 | Acc(val) 0.1489 |
Epoch 00181 | Loss(train) 3.4694 | Acc(train) 0.1209 | Acc(val) 0.1532 |
Epoch 00182 | Loss(train) 3.5159 | Acc(train) 0.1273 | Acc(val) 0.1553 |
Epoch 00183 | Loss(train) 3.4816 | Acc(train) 0.1174 | Acc(val) 0.1436 |
Epoch 00184 | Loss(train) 3.4708 | Acc(train) 0.1184 | Acc(val) 0.1415 |
Epoch 00185 | Loss(train) 3.4905 | Acc(train) 0.1156 | Acc(val) 0.1436 |
Epoch 00186 | Loss(train) 3.5003 | Acc(train) 0.1277 | Acc(val) 0.1532 |
Epoch 00187 | Loss(train) 3.5703 | Acc(train) 0.1333 | Acc(val) 0.1500 |
Epoch 00188 | Loss(train) 3.5190 | Acc(train) 0.1174 | Acc(val) 0.1596 |
Epoch 00189 | Loss(train) 3.4655 | Acc(train) 0.1372 | Acc(val) 0.1628 |
Epoch 00190 | Loss(train) 3.7249 | Acc(train) 0.1191 | Acc(val) 0.1660 |
Epoch 00191 | Loss(train) 3.4860 | Acc(train) 0.1202 | Acc(val) 0.1606 |
Epoch 00192 | Loss(train) 3.4967 | Acc(train) 0.1209 | Acc(val) 0.1553 |
Epoch 00193 | Loss(train) 3.4552 | Acc(train) 0.1248 | Acc(val) 0.1511 |
Epoch 00194 | Loss(train) 3.4644 | Acc(train) 0.1230 | Acc(val) 0.1500 |
Epoch 00195 | Loss(train) 3.4618 | Acc(train) 0.1241 | Acc(val) 0.1532 |
Epoch 00196 | Loss(train) 3.5136 | Acc(train) 0.1220 | Acc(val) 0.1585 |
Epoch 00197 | Loss(train) 3.4741 | Acc(train) 0.1216 | Acc(val) 0.1585 |
Epoch 00198 | Loss(train) 3.4745 | Acc(train) 0.1241 | Acc(val) 0.1532 |
Epoch 00199 | Loss(train) 3.4615 | Acc(train) 0.1230 | Acc(val) 0.1479 |
Epoch 00200 | Loss(train) 3.4778 | Acc(train) 0.1152 | Acc(val) 0.1426 |
************************************
Start fitting calibration
************************************
Calibration model configuration
