/root/WATS/model/calibrator.py:322: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Epoch 00018 | Loss(train) 1.7462 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00019 | Loss(train) 1.7529 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00020 | Loss(train) 1.7387 | Acc(train) 0.2285 | Acc(val) 0.2470 |
Epoch 00021 | Loss(train) 1.7315 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00022 | Loss(train) 1.7290 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00023 | Loss(train) 1.7323 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00024 | Loss(train) 1.7305 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00025 | Loss(train) 1.7328 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00026 | Loss(train) 1.7246 | Acc(train) 0.2345 | Acc(val) 0.2470 |
Epoch 00027 | Loss(train) 1.7219 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00028 | Loss(train) 1.7173 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00029 | Loss(train) 1.7214 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00030 | Loss(train) 1.7158 | Acc(train) 0.2345 | Acc(val) 0.2470 |
Epoch 00031 | Loss(train) 1.7173 | Acc(train) 0.2445 | Acc(val) 0.2470 |
Epoch 00032 | Loss(train) 1.7176 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00033 | Loss(train) 1.7108 | Acc(train) 0.2525 | Acc(val) 0.2470 |
Epoch 00034 | Loss(train) 1.7060 | Acc(train) 0.2565 | Acc(val) 0.2470 |
Epoch 00035 | Loss(train) 1.7149 | Acc(train) 0.2505 | Acc(val) 0.2470 |
Epoch 00036 | Loss(train) 1.7032 | Acc(train) 0.2605 | Acc(val) 0.2470 |
Epoch 00037 | Loss(train) 1.7087 | Acc(train) 0.2565 | Acc(val) 0.2470 |
Epoch 00038 | Loss(train) 1.7051 | Acc(train) 0.2605 | Acc(val) 0.2470 |
Epoch 00039 | Loss(train) 1.7057 | Acc(train) 0.2465 | Acc(val) 0.2470 |
Epoch 00040 | Loss(train) 1.6948 | Acc(train) 0.2705 | Acc(val) 0.2470 |
Epoch 00041 | Loss(train) 1.6958 | Acc(train) 0.2605 | Acc(val) 0.2470 |
Epoch 00042 | Loss(train) 1.7025 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00043 | Loss(train) 1.6873 | Acc(train) 0.2685 | Acc(val) 0.2470 |
Epoch 00044 | Loss(train) 1.6873 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00045 | Loss(train) 1.7020 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00046 | Loss(train) 1.6818 | Acc(train) 0.2545 | Acc(val) 0.2470 |
Epoch 00047 | Loss(train) 1.6813 | Acc(train) 0.2645 | Acc(val) 0.2530 |
Epoch 00048 | Loss(train) 1.6701 | Acc(train) 0.2725 | Acc(val) 0.2530 |
Epoch 00049 | Loss(train) 1.6833 | Acc(train) 0.2826 | Acc(val) 0.2651 |
Epoch 00050 | Loss(train) 1.6729 | Acc(train) 0.2665 | Acc(val) 0.2651 |
Epoch 00051 | Loss(train) 1.6647 | Acc(train) 0.2826 | Acc(val) 0.2711 |
Epoch 00052 | Loss(train) 1.6673 | Acc(train) 0.2966 | Acc(val) 0.2651 |
Epoch 00053 | Loss(train) 1.6579 | Acc(train) 0.3106 | Acc(val) 0.2651 |
Early stopping at epoch 53
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 3703, 'out_dim': 6}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 112.41 MB
GPU Memory Reserved: 184.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.8109 | Acc(train) 0.0741 | Acc(val) 0.1205 |*
Epoch 00002 | Loss(train) 1.8075 | Acc(train) 0.0762 | Acc(val) 0.1205 |
Epoch 00003 | Loss(train) 1.8028 | Acc(train) 0.0701 | Acc(val) 0.1446 |*
Epoch 00004 | Loss(train) 1.7977 | Acc(train) 0.1263 | Acc(val) 0.2470 |*
Epoch 00005 | Loss(train) 1.7933 | Acc(train) 0.2124 | Acc(val) 0.2470 |
Epoch 00006 | Loss(train) 1.7885 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00007 | Loss(train) 1.7939 | Acc(train) 0.2184 | Acc(val) 0.2470 |
Epoch 00008 | Loss(train) 1.7788 | Acc(train) 0.2285 | Acc(val) 0.2470 |
Epoch 00009 | Loss(train) 1.7757 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00010 | Loss(train) 1.7699 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00011 | Loss(train) 1.7677 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00012 | Loss(train) 1.7647 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00013 | Loss(train) 1.7693 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00014 | Loss(train) 1.7555 | Acc(train) 0.2345 | Acc(val) 0.2470 |
Epoch 00015 | Loss(train) 1.7511 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00016 | Loss(train) 1.7521 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00017 | Loss(train) 1.7499 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00018 | Loss(train) 1.7541 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00019 | Loss(train) 1.7422 | Acc(train) 0.2565 | Acc(val) 0.2470 |
Epoch 00020 | Loss(train) 1.7426 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00021 | Loss(train) 1.7375 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00022 | Loss(train) 1.7431 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00023 | Loss(train) 1.7332 | Acc(train) 0.2585 | Acc(val) 0.2470 |
Epoch 00024 | Loss(train) 1.7366 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00025 | Loss(train) 1.7350 | Acc(train) 0.2385 | Acc(val) 0.2470 |
Epoch 00026 | Loss(train) 1.7374 | Acc(train) 0.2465 | Acc(val) 0.2470 |
Epoch 00027 | Loss(train) 1.7471 | Acc(train) 0.2265 | Acc(val) 0.2470 |
Epoch 00028 | Loss(train) 1.7335 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00029 | Loss(train) 1.7321 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00030 | Loss(train) 1.7296 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00031 | Loss(train) 1.7259 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00032 | Loss(train) 1.7225 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00033 | Loss(train) 1.7196 | Acc(train) 0.2505 | Acc(val) 0.2470 |
Epoch 00034 | Loss(train) 1.7149 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00035 | Loss(train) 1.7125 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00036 | Loss(train) 1.7094 | Acc(train) 0.2525 | Acc(val) 0.2470 |
Epoch 00037 | Loss(train) 1.7121 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00038 | Loss(train) 1.7037 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00039 | Loss(train) 1.7086 | Acc(train) 0.2525 | Acc(val) 0.2470 |
Epoch 00040 | Loss(train) 1.7031 | Acc(train) 0.2445 | Acc(val) 0.2470 |
Epoch 00041 | Loss(train) 1.7043 | Acc(train) 0.2465 | Acc(val) 0.2470 |
Epoch 00042 | Loss(train) 1.6992 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00043 | Loss(train) 1.6930 | Acc(train) 0.2585 | Acc(val) 0.2470 |
Epoch 00044 | Loss(train) 1.6955 | Acc(train) 0.2345 | Acc(val) 0.2470 |
Epoch 00045 | Loss(train) 1.6958 | Acc(train) 0.2485 | Acc(val) 0.2470 |
Epoch 00046 | Loss(train) 1.6925 | Acc(train) 0.2525 | Acc(val) 0.2470 |
Epoch 00047 | Loss(train) 1.6844 | Acc(train) 0.2725 | Acc(val) 0.2470 |
Epoch 00048 | Loss(train) 1.6948 | Acc(train) 0.2826 | Acc(val) 0.2470 |
Epoch 00049 | Loss(train) 1.7057 | Acc(train) 0.2625 | Acc(val) 0.2470 |
Epoch 00050 | Loss(train) 1.6798 | Acc(train) 0.2725 | Acc(val) 0.2470 |
Epoch 00051 | Loss(train) 1.6837 | Acc(train) 0.2786 | Acc(val) 0.2470 |
Epoch 00052 | Loss(train) 1.6765 | Acc(train) 0.2866 | Acc(val) 0.2470 |
Epoch 00053 | Loss(train) 1.6753 | Acc(train) 0.2846 | Acc(val) 0.2470 |
Epoch 00054 | Loss(train) 1.6727 | Acc(train) 0.2705 | Acc(val) 0.2530 |*
Epoch 00055 | Loss(train) 1.6619 | Acc(train) 0.2906 | Acc(val) 0.2590 |*
Epoch 00056 | Loss(train) 1.6689 | Acc(train) 0.2846 | Acc(val) 0.2590 |
Epoch 00057 | Loss(train) 1.6590 | Acc(train) 0.2886 | Acc(val) 0.2590 |
Epoch 00058 | Loss(train) 1.6458 | Acc(train) 0.2866 | Acc(val) 0.2590 |
Epoch 00059 | Loss(train) 1.6442 | Acc(train) 0.3226 | Acc(val) 0.2651 |*
Epoch 00060 | Loss(train) 1.6509 | Acc(train) 0.2725 | Acc(val) 0.2651 |
Epoch 00061 | Loss(train) 1.6331 | Acc(train) 0.3206 | Acc(val) 0.2651 |
Epoch 00062 | Loss(train) 1.6296 | Acc(train) 0.3407 | Acc(val) 0.2771 |*
Epoch 00063 | Loss(train) 1.6345 | Acc(train) 0.3327 | Acc(val) 0.2892 |*
Epoch 00064 | Loss(train) 1.6410 | Acc(train) 0.3427 | Acc(val) 0.3072 |*
Epoch 00065 | Loss(train) 1.6222 | Acc(train) 0.3307 | Acc(val) 0.3313 |*
Epoch 00066 | Loss(train) 1.6325 | Acc(train) 0.3647 | Acc(val) 0.3855 |*
Epoch 00067 | Loss(train) 1.5998 | Acc(train) 0.3848 | Acc(val) 0.4337 |*
Epoch 00068 | Loss(train) 1.6292 | Acc(train) 0.3467 | Acc(val) 0.5060 |*
Epoch 00069 | Loss(train) 1.6098 | Acc(train) 0.3727 | Acc(val) 0.5181 |*
Epoch 00070 | Loss(train) 1.5920 | Acc(train) 0.4228 | Acc(val) 0.5422 |*
Epoch 00071 | Loss(train) 1.5968 | Acc(train) 0.4289 | Acc(val) 0.5301 |
Epoch 00072 | Loss(train) 1.5913 | Acc(train) 0.4429 | Acc(val) 0.5361 |
Epoch 00073 | Loss(train) 1.5799 | Acc(train) 0.4168 | Acc(val) 0.5482 |*
Epoch 00074 | Loss(train) 1.5621 | Acc(train) 0.4068 | Acc(val) 0.5602 |*
Epoch 00075 | Loss(train) 1.5808 | Acc(train) 0.4289 | Acc(val) 0.5723 |*
Epoch 00076 | Loss(train) 1.5746 | Acc(train) 0.4649 | Acc(val) 0.5843 |*
Epoch 00077 | Loss(train) 1.5853 | Acc(train) 0.4469 | Acc(val) 0.5904 |*
Epoch 00078 | Loss(train) 1.5338 | Acc(train) 0.4810 | Acc(val) 0.5964 |*
Epoch 00079 | Loss(train) 1.5546 | Acc(train) 0.4589 | Acc(val) 0.5904 |
Epoch 00080 | Loss(train) 1.5302 | Acc(train) 0.4669 | Acc(val) 0.6024 |*
Epoch 00081 | Loss(train) 1.5453 | Acc(train) 0.4669 | Acc(val) 0.5904 |
Epoch 00082 | Loss(train) 1.5507 | Acc(train) 0.4749 | Acc(val) 0.5904 |
Epoch 00083 | Loss(train) 1.5216 | Acc(train) 0.4970 | Acc(val) 0.5904 |
Epoch 00084 | Loss(train) 1.5209 | Acc(train) 0.5070 | Acc(val) 0.5723 |
Epoch 00085 | Loss(train) 1.4980 | Acc(train) 0.4990 | Acc(val) 0.5964 |
Epoch 00086 | Loss(train) 1.4902 | Acc(train) 0.4749 | Acc(val) 0.5843 |
Epoch 00087 | Loss(train) 1.4631 | Acc(train) 0.5090 | Acc(val) 0.5843 |
Epoch 00088 | Loss(train) 1.4690 | Acc(train) 0.4870 | Acc(val) 0.5723 |
Epoch 00089 | Loss(train) 1.4660 | Acc(train) 0.4669 | Acc(val) 0.5783 |
Epoch 00090 | Loss(train) 1.4915 | Acc(train) 0.4489 | Acc(val) 0.6024 |
Epoch 00091 | Loss(train) 1.4477 | Acc(train) 0.5070 | Acc(val) 0.6205 |*
Epoch 00092 | Loss(train) 1.4298 | Acc(train) 0.5331 | Acc(val) 0.6205 |
Epoch 00093 | Loss(train) 1.4397 | Acc(train) 0.4870 | Acc(val) 0.6265 |*
Epoch 00094 | Loss(train) 1.4311 | Acc(train) 0.5070 | Acc(val) 0.6145 |
Epoch 00095 | Loss(train) 1.5529 | Acc(train) 0.5190 | Acc(val) 0.6024 |
Epoch 00096 | Loss(train) 1.4377 | Acc(train) 0.4830 | Acc(val) 0.5904 |
Epoch 00097 | Loss(train) 1.4306 | Acc(train) 0.5090 | Acc(val) 0.5783 |
Epoch 00098 | Loss(train) 1.4230 | Acc(train) 0.5110 | Acc(val) 0.5843 |
Epoch 00099 | Loss(train) 1.4231 | Acc(train) 0.5050 | Acc(val) 0.5843 |
Epoch 00100 | Loss(train) 1.4091 | Acc(train) 0.4910 | Acc(val) 0.5964 |
Epoch 00101 | Loss(train) 1.4050 | Acc(train) 0.4990 | Acc(val) 0.5964 |
Epoch 00102 | Loss(train) 1.4065 | Acc(train) 0.5230 | Acc(val) 0.6325 |*
Epoch 00103 | Loss(train) 1.3845 | Acc(train) 0.5251 | Acc(val) 0.6145 |
Epoch 00104 | Loss(train) 1.3937 | Acc(train) 0.4970 | Acc(val) 0.6205 |
Epoch 00105 | Loss(train) 1.4288 | Acc(train) 0.5331 | Acc(val) 0.6325 |
Epoch 00106 | Loss(train) 1.5091 | Acc(train) 0.5331 | Acc(val) 0.6325 |
Epoch 00107 | Loss(train) 1.4021 | Acc(train) 0.5451 | Acc(val) 0.6265 |
Epoch 00108 | Loss(train) 1.3411 | Acc(train) 0.5551 | Acc(val) 0.6205 |
Epoch 00109 | Loss(train) 1.3862 | Acc(train) 0.5130 | Acc(val) 0.6205 |
Epoch 00110 | Loss(train) 1.3577 | Acc(train) 0.5531 | Acc(val) 0.6145 |
Epoch 00111 | Loss(train) 1.4310 | Acc(train) 0.5271 | Acc(val) 0.6145 |
Epoch 00112 | Loss(train) 1.3787 | Acc(train) 0.5050 | Acc(val) 0.6145 |
Epoch 00113 | Loss(train) 1.3424 | Acc(train) 0.5892 | Acc(val) 0.6386 |*
Epoch 00114 | Loss(train) 1.3564 | Acc(train) 0.5611 | Acc(val) 0.6386 |
Epoch 00115 | Loss(train) 1.3662 | Acc(train) 0.5671 | Acc(val) 0.6386 |
Epoch 00116 | Loss(train) 1.3113 | Acc(train) 0.5892 | Acc(val) 0.6506 |*
Epoch 00117 | Loss(train) 1.3157 | Acc(train) 0.5431 | Acc(val) 0.6446 |
Epoch 00118 | Loss(train) 1.2958 | Acc(train) 0.5832 | Acc(val) 0.6566 |*
Epoch 00119 | Loss(train) 1.3169 | Acc(train) 0.5551 | Acc(val) 0.6446 |
Epoch 00120 | Loss(train) 1.2882 | Acc(train) 0.5952 | Acc(val) 0.6506 |
Epoch 00121 | Loss(train) 1.3152 | Acc(train) 0.5371 | Acc(val) 0.6386 |
Epoch 00122 | Loss(train) 1.2838 | Acc(train) 0.5491 | Acc(val) 0.6506 |
Epoch 00123 | Loss(train) 1.3218 | Acc(train) 0.5391 | Acc(val) 0.6506 |
Epoch 00124 | Loss(train) 1.3277 | Acc(train) 0.5511 | Acc(val) 0.6506 |
Epoch 00125 | Loss(train) 1.2848 | Acc(train) 0.5752 | Acc(val) 0.6325 |
Epoch 00126 | Loss(train) 1.3514 | Acc(train) 0.5511 | Acc(val) 0.6205 |
Epoch 00127 | Loss(train) 1.2848 | Acc(train) 0.5631 | Acc(val) 0.6265 |
Epoch 00128 | Loss(train) 1.3013 | Acc(train) 0.5772 | Acc(val) 0.6386 |
Epoch 00129 | Loss(train) 1.2985 | Acc(train) 0.5852 | Acc(val) 0.6386 |
Epoch 00130 | Loss(train) 1.2808 | Acc(train) 0.6012 | Acc(val) 0.6506 |
Epoch 00131 | Loss(train) 1.2513 | Acc(train) 0.6132 | Acc(val) 0.6446 |
Epoch 00132 | Loss(train) 1.3005 | Acc(train) 0.5551 | Acc(val) 0.6506 |
Epoch 00133 | Loss(train) 1.2441 | Acc(train) 0.5972 | Acc(val) 0.6446 |
Epoch 00134 | Loss(train) 1.2438 | Acc(train) 0.5611 | Acc(val) 0.6325 |
Epoch 00135 | Loss(train) 1.2582 | Acc(train) 0.5752 | Acc(val) 0.6265 |
Epoch 00136 | Loss(train) 1.2677 | Acc(train) 0.5772 | Acc(val) 0.6265 |
Epoch 00137 | Loss(train) 1.2302 | Acc(train) 0.6353 | Acc(val) 0.6265 |
Epoch 00138 | Loss(train) 1.2641 | Acc(train) 0.5832 | Acc(val) 0.6205 |
Epoch 00139 | Loss(train) 1.2743 | Acc(train) 0.5752 | Acc(val) 0.6325 |
Epoch 00140 | Loss(train) 1.2426 | Acc(train) 0.5972 | Acc(val) 0.6325 |
Epoch 00141 | Loss(train) 1.3997 | Acc(train) 0.5691 | Acc(val) 0.6386 |
Epoch 00142 | Loss(train) 1.2320 | Acc(train) 0.5972 | Acc(val) 0.6506 |
Epoch 00143 | Loss(train) 1.2310 | Acc(train) 0.5972 | Acc(val) 0.6566 |
Epoch 00144 | Loss(train) 1.2497 | Acc(train) 0.5972 | Acc(val) 0.6627 |*
Epoch 00145 | Loss(train) 1.2663 | Acc(train) 0.5872 | Acc(val) 0.6687 |*
Epoch 00146 | Loss(train) 1.2882 | Acc(train) 0.6012 | Acc(val) 0.6687 |
Epoch 00147 | Loss(train) 1.2935 | Acc(train) 0.5731 | Acc(val) 0.6566 |
Epoch 00148 | Loss(train) 1.2179 | Acc(train) 0.6032 | Acc(val) 0.6506 |
Epoch 00149 | Loss(train) 1.2332 | Acc(train) 0.6012 | Acc(val) 0.6325 |
Epoch 00150 | Loss(train) 1.2229 | Acc(train) 0.6032 | Acc(val) 0.6265 |
Epoch 00151 | Loss(train) 1.2215 | Acc(train) 0.5972 | Acc(val) 0.6386 |
Epoch 00152 | Loss(train) 1.2256 | Acc(train) 0.6052 | Acc(val) 0.6386 |
Epoch 00153 | Loss(train) 1.2127 | Acc(train) 0.5952 | Acc(val) 0.6566 |
Epoch 00154 | Loss(train) 1.2041 | Acc(train) 0.5832 | Acc(val) 0.6627 |
Epoch 00155 | Loss(train) 1.2137 | Acc(train) 0.5451 | Acc(val) 0.6566 |
Epoch 00156 | Loss(train) 1.2631 | Acc(train) 0.5892 | Acc(val) 0.6627 |
Epoch 00157 | Loss(train) 1.2228 | Acc(train) 0.5952 | Acc(val) 0.6566 |
Epoch 00158 | Loss(train) 1.1923 | Acc(train) 0.6413 | Acc(val) 0.6446 |
Epoch 00159 | Loss(train) 1.2180 | Acc(train) 0.6172 | Acc(val) 0.6386 |
Epoch 00160 | Loss(train) 1.2103 | Acc(train) 0.6132 | Acc(val) 0.6325 |
Epoch 00161 | Loss(train) 1.2397 | Acc(train) 0.5812 | Acc(val) 0.6325 |
Epoch 00162 | Loss(train) 1.2077 | Acc(train) 0.5691 | Acc(val) 0.6386 |
Epoch 00163 | Loss(train) 1.2755 | Acc(train) 0.5711 | Acc(val) 0.6446 |
Epoch 00164 | Loss(train) 1.1969 | Acc(train) 0.6132 | Acc(val) 0.6386 |
Epoch 00165 | Loss(train) 1.1965 | Acc(train) 0.5912 | Acc(val) 0.6446 |
Epoch 00166 | Loss(train) 1.1911 | Acc(train) 0.5711 | Acc(val) 0.6506 |
Epoch 00167 | Loss(train) 1.1944 | Acc(train) 0.6232 | Acc(val) 0.6627 |
Epoch 00168 | Loss(train) 1.2230 | Acc(train) 0.5912 | Acc(val) 0.6687 |
Epoch 00169 | Loss(train) 1.1762 | Acc(train) 0.6192 | Acc(val) 0.6687 |
Epoch 00170 | Loss(train) 1.1950 | Acc(train) 0.6232 | Acc(val) 0.6807 |*
Epoch 00171 | Loss(train) 1.1525 | Acc(train) 0.6353 | Acc(val) 0.6928 |*
Epoch 00172 | Loss(train) 1.1849 | Acc(train) 0.6092 | Acc(val) 0.6807 |
Epoch 00173 | Loss(train) 1.1856 | Acc(train) 0.6092 | Acc(val) 0.6928 |
Epoch 00174 | Loss(train) 1.1950 | Acc(train) 0.5872 | Acc(val) 0.6807 |
Epoch 00175 | Loss(train) 1.1848 | Acc(train) 0.5832 | Acc(val) 0.6747 |
Epoch 00176 | Loss(train) 1.2178 | Acc(train) 0.6593 | Acc(val) 0.6566 |
Epoch 00177 | Loss(train) 1.2203 | Acc(train) 0.5932 | Acc(val) 0.6506 |
Epoch 00178 | Loss(train) 1.1506 | Acc(train) 0.6152 | Acc(val) 0.6386 |
Epoch 00179 | Loss(train) 1.1930 | Acc(train) 0.6112 | Acc(val) 0.6446 |
Epoch 00180 | Loss(train) 1.1888 | Acc(train) 0.5952 | Acc(val) 0.6627 |
Epoch 00181 | Loss(train) 1.1922 | Acc(train) 0.5932 | Acc(val) 0.6687 |
Epoch 00182 | Loss(train) 1.2207 | Acc(train) 0.6192 | Acc(val) 0.6687 |
Epoch 00183 | Loss(train) 1.1784 | Acc(train) 0.6232 | Acc(val) 0.6747 |
Epoch 00184 | Loss(train) 1.1869 | Acc(train) 0.6092 | Acc(val) 0.6747 |
Epoch 00185 | Loss(train) 1.1736 | Acc(train) 0.6172 | Acc(val) 0.6747 |
Epoch 00186 | Loss(train) 1.2226 | Acc(train) 0.6353 | Acc(val) 0.6566 |
Epoch 00187 | Loss(train) 1.1669 | Acc(train) 0.6313 | Acc(val) 0.6506 |
Epoch 00188 | Loss(train) 1.1687 | Acc(train) 0.6333 | Acc(val) 0.6747 |
Epoch 00189 | Loss(train) 1.2133 | Acc(train) 0.6052 | Acc(val) 0.6807 |
Epoch 00190 | Loss(train) 1.1333 | Acc(train) 0.6333 | Acc(val) 0.6627 |
Epoch 00191 | Loss(train) 1.1660 | Acc(train) 0.6232 | Acc(val) 0.6747 |
Epoch 00192 | Loss(train) 1.1420 | Acc(train) 0.6212 | Acc(val) 0.6566 |
Epoch 00193 | Loss(train) 1.1469 | Acc(train) 0.5992 | Acc(val) 0.6627 |
Epoch 00194 | Loss(train) 1.1501 | Acc(train) 0.6273 | Acc(val) 0.6506 |
Epoch 00195 | Loss(train) 1.1496 | Acc(train) 0.6132 | Acc(val) 0.6627 |
Epoch 00196 | Loss(train) 1.1535 | Acc(train) 0.6333 | Acc(val) 0.6687 |
Epoch 00197 | Loss(train) 1.1877 | Acc(train) 0.6393 | Acc(val) 0.6807 |
Epoch 00198 | Loss(train) 1.1542 | Acc(train) 0.6393 | Acc(val) 0.6747 |
Epoch 00199 | Loss(train) 1.1383 | Acc(train) 0.6433 | Acc(val) 0.6627 |
Epoch 00200 | Loss(train) 1.1737 | Acc(train) 0.6032 | Acc(val) 0.6627 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'WATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 3703, 'out_dim': 6}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': 50})
************************************
正在计算理论系数 c_k (通过数值积分)...
理论系数 c_k 计算完成。
************************************
GPU memory allowcation
GPU Memory Allocated: 112.41 MB
GPU Memory Reserved: 184.00 MB
Exp 2/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.7883 | Acc(train) 0.1864 | Acc(val) 0.1687 |*
Epoch 00002 | Loss(train) 1.7844 | Acc(train) 0.1864 | Acc(val) 0.1687 |
Epoch 00003 | Loss(train) 1.7814 | Acc(train) 0.1864 | Acc(val) 0.1687 |
